data;dia;setup;lado;ent;stop_pts;alvo_pts;res;pnl;pnl_rs;barras
2026-07-03 12:10:00;2026-07-03;D;compra;176772,5;71,6;300,0;alvo;185,77822264306798;37,1556445286136;24
2026-07-06 10:14:00;2026-07-06;D;compra;174920,0;92,7;300,0;zero;-6,0111915445304476e-12;-1,2022383089060896e-12;9
2026-07-06 14:03:00;2026-07-06;D;venda;174385,0;67,5;300,0;stop;-67,50242827714779;-13,500485655429557;2
2026-07-07 09:03:00;2026-07-07;D;venda;174745,0;106,1;300,0;stop;-106,0859780009791;-21,217195600195822;1
2026-07-07 09:33:00;2026-07-07;D;venda;175392,5;89,0;300,0;alvo;194,47634697546198;38,8952693950924;20
2026-07-07 09:58:00;2026-07-07;D;compra;175050,0;84,7;300,0;alvo;192,35885672274122;38,471771344548245;7
2026-07-07 11:31:00;2026-07-07;D;venda;173917,5;81,1;300,0;zero;7,155165349104209e-12;1,4310330698208418e-12;5
2026-07-07 14:14:00;2026-07-07;D;compra;173862,5;73,7;300,0;alvo;186,84032925612067;37,36806585122414;5
2026-07-08 09:46:00;2026-07-08;D;compra;173545,0;75,3;300,0;zero;4,973799150320701e-12;9,947598300641403e-13;22
2026-07-08 10:35:00;2026-07-08;D;compra;172907,5;120,3;300,0;stop;-120,30302365139306;-24,060604730278612;1
2026-07-08 11:35:00;2026-07-08;D;compra;172557,5;112,1;300,0;stop;-112,1125869286018;-22,42251738572036;1
2026-07-08 11:55:00;2026-07-08;D;venda;172340,0;94,8;300,0;zero;-3,559819106158102e-12;-7,119638212316204e-13;10
2026-07-08 13:26:00;2026-07-08;T;venda;172317,5;74,8;300,0;zero;5,130118552187923e-12;1,0260237104375847e-12;6
2026-07-08 16:47:00;2026-07-08;D;compra;172845,0;74,6;300,0;zero;2,5366375666635577e-12;5,073275133327116e-13;4
2026-07-09 10:05:00;2026-07-09;D;venda;173485,0;96,3;300,0;zero;7,062794793455396e-12;1,4125589586910793e-12;11
2026-07-09 12:17:00;2026-07-09;D;compra;174505,0;80,0;300,0;stop;-80,03785770659886;-16,007571541319773;1
2026-07-09 16:40:00;2026-07-09;D;venda;174925,0;64,7;300,0;stop;-64,68980571780645;-12,93796114356129;1
2026-07-10 10:09:00;2026-07-10;D;compra;178215,0;136,5;300,0;stop;-136,47171210323262;-27,294342420646526;2
2026-07-10 10:40:00;2026-07-10;D;venda;178475,0;110,3;300,0;alvo;205,13579392989513;41,027158785979026;5
2026-07-10 12:00:00;2026-07-10;D;compra;178670,0;90,6;300,0;stop;-90,61939586158044;-18,12387917231609;1
2026-07-10 12:26:00;2026-07-10;D;venda;178435,0;88,5;300,0;zero;-4,192202140984591e-13;-8,384404281969183e-14;17
2026-07-10 15:02:00;2026-07-10;D;venda;179475,0;69,5;300,0;stop;-69,52574059824522;-13,905148119649045;1
2026-07-10 16:04:00;2026-07-10;D;venda;179620,0;76,4;300,0;stop;-76,38732417662999;-15,277464835325999;6
2026-07-13 09:20:00;2026-07-13;D;compra;179727,5;100,1;300,0;stop;-100,05553745733357;-20,011107491466717;2
2026-07-13 09:40:00;2026-07-13;D;venda;179932,5;88,4;300,0;stop;-88,41923771681296;-17,683847543362592;1
2026-07-13 12:30:00;2026-07-13;D;venda;178550,0;76,2;300,0;alvo;188,09793833195437;37,61958766639088;13
2026-07-13 14:11:00;2026-07-13;D;venda;177940,0;62,5;300,0;stop;-62,518817243889295;-12,50376344877786;1
2026-07-13 14:40:00;2026-07-13;D;compra;177610,0;70,1;300,0;zero;-6,600942015211331e-12;-1,3201884030422662e-12;4
2026-07-14 09:23:00;2026-07-14;D;venda;177790,0;100,2;300,0;stop;-100,15818238651671;-20,031636477303344;2
2026-07-14 09:46:00;2026-07-14;D;compra;178275,0;103,1;300,0;zero;6,0111915445304476e-12;1,2022383089060896e-12;15
2026-07-14 12:33:00;2026-07-14;D;compra;178210,0;81,7;300,0;stop;-81,65934492761158;-16,331868985522316;2
2026-07-14 15:16:00;2026-07-14;T;compra;177895,0;67,0;300,0;alvo;183,51652051118168;36,70330410223634;11
2026-07-14 16:53:00;2026-07-14;D;venda;178457,5;66,0;300,0;stop;-65,96749518962383;-13,193499037924767;1
2026-07-15 09:30:00;2026-07-15;D;venda;178120,0;93,8;300,0;alvo;196,92044030804692;39,38408806160939;2
2026-07-15 10:52:00;2026-07-15;D;venda;177600,0;95,7;300,0;stop;-95,74311871676095;-19,14862374335219;1
2026-07-16 09:51:00;2026-07-16;D;compra;177417,5;84,1;300,0;zero;4,867217739956686e-12;9,734435479913373e-13;4
2026-07-16 10:36:00;2026-07-16;D;venda;175835,0;91,6;300,0;alvo;195,7993028195197;39,15986056390395;4
2026-07-17 09:10:00;2026-07-17;T;venda;175277,5;125,5;300,0;stop;-125,45594230905235;-25,09118846181047;6
2026-07-17 09:41:00;2026-07-17;D;venda;175212,5;85,1;300,0;zero;3,0198066269804258e-12;6,039613253960852e-13;3
2026-07-17 09:58:00;2026-07-17;D;compra;175217,5;77,6;300,0;zero;-6,885159109515371e-12;-1,3770318219030742e-12;2
2026-07-17 12:01:00;2026-07-17;D;compra;175525,0;86,6;300,0;alvo;193,30126838050444;38,66025367610089;5
2026-07-17 12:50:00;2026-07-17;T;venda;175855,0;75,3;300,0;stop;-75,29397964984508;-15,058795929969017;1
2026-07-17 14:57:00;2026-07-17;D;compra;175220,0;73,2;300,0;stop;-73,21308449262835;-14,642616898525672;1
2026-07-20 09:20:00;2026-07-20;D;compra;175017,5;96,4;300,0;stop;-96,3519661768795;-19,270393235375902;1
2026-07-20 09:30:00;2026-07-20;D;venda;175305,0;86,4;300,0;alvo;193,2039359006676;38,64078718013352;16
2026-07-20 09:58:00;2026-07-20;D;venda;175347,5;82,5;300,0;zero;6,323830348264892e-13;1,2647660696529784e-13;3
2026-07-20 16:16:00;2026-07-20;D;compra;174980,0;66,2;300,0;zero;-5,5209170568559784e-12;-1,1041834113711957e-12;17
2026-07-21 09:43:00;2026-07-21;D;compra;174692,5;77,2;300,0;zero;2,2879476091475226e-12;4,575895218295046e-13;8
2026-07-21 10:00:00;2026-07-21;D;compra;174635,0;83,7;300,0;stop;-83,73085631472127;-16,746171262944255;1
2026-07-21 10:16:00;2026-07-21;D;venda;174925,0;86,0;300,0;alvo;192,9995773415928;38,599915468318564;4
2026-07-21 10:51:00;2026-07-21;D;compra;174147,5;89,5;300,0;stop;-89,50664049980921;-17,90132809996184;1
2026-07-21 11:03:00;2026-07-21;D;venda;174247,5;85,9;300,0;stop;-85,94485867917886;-17,188971735835775;1
2026-07-22 09:12:00;2026-07-22;D;compra;175285,0;107,2;300,0;alvo;203,60272902187634;40,72054580437527;4
2026-07-22 09:39:00;2026-07-22;T;compra;175517,5;76,1;300,0;stop;-76,0679927117211;-15,213598542344222;1
2026-07-22 09:56:00;2026-07-22;T;compra;175382,5;97,9;300,0;alvo;198,95113293589765;39,79022658717953;4
2026-07-22 10:16:00;2026-07-22;D;venda;176087,5;88,9;300,0;alvo;194,443186802343;38,88863736046861;4
2026-07-23 09:31:00;2026-07-23;D;venda;178535,0;120,3;300,0;stop;-120,29845252443606;-24,059690504887215;6
2026-07-23 09:42:00;2026-07-23;D;compra;178280,0;101,1;300,0;stop;-101,06430671787055;-20,21286134357411;3
2026-07-23 09:46:00;2026-07-23;T;venda;178382,5;98,2;300,0;alvo;199,10219075409043;39,82043815081809;13
2026-07-23 16:30:00;2026-07-23;D;compra;177840,0;89,7;300,0;stop;-89,66821556983709;-17,933643113967417;2
2026-07-24 09:32:00;2026-07-24;D;venda;176682,5;85,6;300,0;alvo;192,78117341689287;38,55623468337858;2
2026-07-24 09:43:00;2026-07-24;D;compra;176285,0;82,8;300,0;zero;-1,1866063687193673e-12;-2,3732127374387345e-13;12
2026-07-24 10:30:00;2026-07-24;D;venda;176345,0;98,9;300,0;alvo;199,46781802040994;39,89356360408199;1
2026-07-24 10:49:00;2026-07-24;T;compra;176067,5;100,0;300,0;stop;-100,01471828079819;-20,00294365615964;1
2026-07-24 11:27:00;2026-07-24;D;venda;176510,0;93,3;300,0;alvo;196,64757065508581;39,32951413101716;7
2026-07-27 09:49:00;2026-07-27;D;venda;175832,5;75,9;300,0;stop;-75,90771956247764;-15,181543912495528;1
2026-07-27 13:28:00;2026-07-27;D;compra;175945,0;76,1;300,0;zero;-8,384404281969182e-13;-1,6768808563938365e-13;10
2026-07-28 11:16:00;2026-07-28;D;compra;178210,0;97,1;300,0;stop;-97,14421040757833;-19,42884208151567;1
2026-07-28 11:45:00;2026-07-28;D;venda;178310,0;86,9;300,0;alvo;193,44455084289655;38,68891016857931;8
2026-07-29 10:18:00;2026-07-29;D;venda;177122,5;81,5;300,0;alvo;190,77011568286306;38,15402313657261;3
2026-07-29 10:30:00;2026-07-29;D;venda;177050,0;94,5;300,0;alvo;197,2746523667036;39,454930473340724;1
2026-07-29 10:32:00;2026-07-29;D;venda;177172,5;103,6;300,0;alvo;201,80659242526144;40,361318485052294;2
2026-07-29 15:33:00;2026-07-29;D;venda;175245,0;111,5;300,0;zero;1,7053025658242404e-13;3,4106051316484814e-14;2
2026-07-29 16:30:00;2026-07-29;D;venda;175225,0;96,2;300,0;stop;-96,20860490361378;-19,241720980722757;1
2026-07-30 10:00:00;2026-07-30;D;venda;175407,5;90,0;300,0;zero;1,9753088054130785e-12;3,950617610826157e-13;2
2026-07-30 10:03:00;2026-07-30;D;venda;175527,5;94,4;300,0;zero;3,893774191965349e-12;7,787548383930699e-13;2
2026-08-03 10:30:00;2026-08-03;D;venda;178312,5;92,7;300,0;stop;-92,65340893788286;-18,530681787576572;1
2026-08-03 10:31:00;2026-08-03;D;venda;178572,5;98,8;300,0;alvo;199,37728468640597;39,8754569372812;6
2026-08-03 13:09:00;2026-08-03;T;venda;177927,5;68,7;300,0;zero;-1,1937117960769683e-12;-2,3874235921539367e-13;2
2026-08-04 09:41:00;2026-08-04;D;venda;180817,5;77,7;300,0;stop;-77,6729953373037;-15,534599067460741;1
2026-08-04 11:38:00;2026-08-04;D;venda;179242,5;88,6;300,0;zero;5,8548721426632255e-12;1,1709744285326452e-12;4
2026-08-04 16:54:00;2026-08-04;D;compra;178262,5;65,1;300,0;stop;-65,1034666482702;-13,02069332965404;1
2026-08-05 09:05:00;2026-08-05;D;compra;179030,0;137,9;300,0;stop;-137,90631832430807;-27,581263664861616;2
2026-08-05 09:23:00;2026-08-05;D;venda;179375,0;99,2;300,0;stop;-99,23036706678329;-19,84607341335666;2
2026-08-05 09:30:00;2026-08-05;D;venda;179532,5;86,5;300,0;stop;-86,46612784246618;-17,293225568493238;1
2026-08-05 09:59:00;2026-08-05;D;compra;179595,0;79,0;300,0;stop;-78,97370628323422;-15,794741256646844;1
2026-08-05 11:20:00;2026-08-05;D;compra;180152,5;97,7;300,0;stop;-97,71827798365311;-19,543655596730623;1
2026-08-05 11:53:00;2026-08-05;D;compra;179230,0;98,6;300,0;stop;-98,57968146065423;-19,71593629213085;1
2026-08-06 09:30:00;2026-08-06;D;compra;176600,0;113,2;300,0;alvo;206,5819504844572;41,31639009689144;2
2026-08-06 10:50:00;2026-08-06;D;venda;177115,0;112,3;300,0;stop;-112,25691657839032;-22,451383315678065;1
2026-08-06 11:22:00;2026-08-06;D;venda;176857,5;96,8;300,0;zero;5,7980287238024175e-12;1,1596057447604836e-12;6
