dt;barra;lado;close;ok
2026-07-10 09:57:59.553;5611;compra;178750,0;0
2026-07-10 11:29:59.168;5934;compra;178900,0;0
2026-07-10 14:01:21.326;6048;compra;179400,0;0
2026-07-10 14:19:43.196;6053;compra;179350,0;0
2026-07-10 14:58:31.792;6059;compra;179350,0;1
2026-07-10 15:52:32.965;6083;compra;179550,0;0
2026-07-13 12:18:01.911;6572;venda;178350,0;0
2026-07-13 16:49:05.790;6661;venda;177500,0;0
2026-07-14 09:30:35.861;6909;compra;178650,0;1
2026-07-14 09:30:52.990;6920;compra;179000,0;1
2026-07-14 09:30:58.353;6929;compra;179050,0;1
2026-07-14 09:31:07.314;6936;compra;179100,0;0
2026-07-14 09:31:33.666;6941;compra;178950,0;0
2026-07-15 09:53:49.302;7523;compra;178450,0;0
2026-07-16 09:04:37.630;7910;compra;178500,0;0
2026-07-16 10:22:40.837;8060;venda;176650,0;0
2026-07-16 10:37:25.985;8112;venda;175650,0;0
2026-07-16 10:41:28.595;8118;venda;175650,0;1
2026-07-16 10:43:51.967;8125;venda;175600,0;1
2026-07-16 10:47:19.968;8131;venda;175500,0;0
2026-07-16 17:50:03.634;8358;venda;175250,0;1
2026-07-17 10:34:54.428;8624;compra;175500,0;0
2026-07-17 10:54:36.142;8682;compra;175600,0;1
2026-07-17 12:46:13.188;8775;compra;175850,0;1
2026-07-17 13:01:38.441;8782;compra;176000,0;0
2026-07-20 10:46:00.431;9159;venda;174600,0;0
2026-07-22 09:05:33.032;9792;compra;175100,0;1
2026-07-22 09:12:12.085;9815;compra;175350,0;1
2026-07-22 09:15:37.410;9823;compra;175450,0;0
2026-07-22 10:01:58.659;9906;compra;175900,0;0
2026-07-22 10:15:43.984;9942;compra;176000,0;0
2026-07-22 10:33:21.621;9996;compra;176700,0;1
2026-07-22 10:37:52.061;10007;compra;176850,0;1
2026-07-22 10:42:45.824;10035;compra;177650,0;1
2026-07-22 10:45:42.659;10046;compra;177700,0;1
2026-07-22 10:48:29.308;10062;compra;178100,0;0
2026-07-22 10:51:53.409;10071;compra;178150,0;0
2026-07-22 10:53:18.209;10077;compra;177950,0;0
2026-07-22 11:01:25.754;10095;compra;177750,0;1
2026-07-22 14:39:37.665;10253;compra;178450,0;1
2026-07-22 15:04:44.328;10266;compra;178800,0;0
2026-07-22 16:16:51.621;10285;compra;178850,0;0
2026-07-22 17:45:28.043;10302;compra;179100,0;0
2026-07-23 10:47:01.442;10856;compra;178600,0;1
2026-07-24 10:32:08.904;11360;venda;175950,0;0
2026-07-24 10:38:24.558;11374;venda;175850,0;0
2026-07-24 13:58:35.930;11542;venda;175350,0;0
2026-07-24 15:56:32.137;11555;venda;175300,0;1
2026-07-27 12:00:43.845;11872;compra;176300,0;0
2026-07-27 17:03:18.258;11963;compra;176550,0;1
2026-07-28 09:01:07.210;12037;compra;177750,0;0
2026-07-28 09:03:40.886;12108;compra;178250,0;0
2026-07-28 09:04:04.994;12118;compra;178300,0;1
2026-07-28 09:05:08.812;12130;compra;178400,0;1
2026-07-28 09:16:09.077;12170;compra;178700,0;1
2026-07-28 09:25:39.392;12185;compra;179050,0;1
2026-07-28 09:30:25.494;12201;compra;179250,0;0
2026-07-28 09:34:32.507;12208;compra;179300,0;0
2026-07-28 09:36:19.466;12213;compra;179250,0;0
2026-07-28 09:57:01.712;12239;compra;179150,0;0
2026-07-29 10:36:03.185;12904;venda;176650,0;0
2026-07-29 10:39:54.377;12910;venda;176650,0;1
2026-07-29 11:45:14.603;12973;venda;175700,0;0
2026-07-29 13:26:58.232;13013;venda;175500,0;0
2026-07-29 15:33:38.410;13131;venda;175200,0;0
2026-07-29 16:41:17.480;13242;venda;175050,0;1
2026-07-30 09:01:05.169;13548;compra;175300,0;0
2026-07-30 09:01:39.503;13578;compra;175300,0;1
2026-07-30 09:02:03.565;13586;compra;175400,0;0
2026-07-30 09:09:24.686;13646;compra;175400,0;0
2026-07-30 09:21:50.113;13660;compra;175400,0;1
2026-07-30 09:29:30.100;13669;compra;175450,0;1
2026-07-30 10:16:29.097;13748;compra;175500,0;1
2026-07-30 10:20:55.114;13755;compra;175550,0;1
2026-07-30 11:05:24.108;13855;compra;175650,0;1
2026-07-30 11:27:15.968;13889;compra;175850,0;1
2026-07-30 11:30:25.812;13896;compra;176000,0;1
2026-07-30 11:45:34.738;13907;compra;176050,0;0
2026-07-30 12:00:57.067;13919;compra;175950,0;0
2026-07-30 12:26:09.954;13937;compra;176150,0;1
2026-07-30 13:44:38.470;13956;compra;176700,0;1
2026-07-30 14:32:11.948;13968;compra;176800,0;0
2026-07-30 16:30:10.581;13999;compra;177750,0;1
2026-07-30 16:50:35.114;14005;compra;177850,0;1
2026-07-30 17:43:22.372;14020;compra;178100,0;0
2026-07-31 12:35:22.950;14086;compra;177900,0;1
2026-07-31 12:36:05.629;14104;compra;178300,0;0
2026-07-31 12:40:20.585;14123;compra;178450,0;1
2026-07-31 12:45:23.334;14134;compra;178800,0;1
2026-07-31 12:51:00.650;14150;compra;178700,0;1
2026-07-31 13:36:53.290;14225;compra;178950,0;1
2026-07-31 14:18:44.541;14257;compra;178850,0;1
2026-07-31 14:49:07.829;14274;compra;179100,0;0
2026-07-31 15:28:51.228;14292;compra;179200,0;1
2026-08-03 10:00:00.263;14514;compra;179600,0;0
2026-08-04 09:03:27.429;14860;compra;179400,0;1
2026-08-04 09:04:48.525;14873;compra;179650,0;1
2026-08-04 09:07:20.660;14898;compra;180200,0;1
2026-08-04 09:08:53.611;14904;compra;180300,0;0
2026-08-04 09:12:27.676;14913;compra;180150,0;1
2026-08-04 09:14:50.135;14921;compra;180350,0;1
2026-08-04 09:21:26.401;14933;compra;180550,0;0
2026-08-04 09:24:32.933;14939;compra;180550,0;0
2026-08-04 13:21:54.321;15322;venda;178850,0;1
2026-08-04 15:11:48.566;15381;venda;178300,0;1
2026-08-04 15:25:07.555;15389;venda;178100,0;0
2026-08-05 16:17:46.277;15964;venda;178350,0;1
2026-08-06 09:05:59.203;16068;venda;177250,0;1
2026-08-06 16:54:06.384;16566;venda;175850,0;1
2026-08-07 10:37:54.929;16886;venda;175250,0;0
2026-08-07 11:10:57.910;16939;venda;174200,0;1
2026-08-07 11:18:23.298;16946;venda;174150,0;1
2026-08-07 11:35:12.819;16964;venda;173750,0;1
2026-08-07 11:54:36.122;16977;venda;173300,0;1
2026-08-07 12:14:57.961;16996;venda;172950,0;0
2026-08-07 13:40:13.476;17040;venda;172750,0;0
2026-08-07 14:43:01.035;17056;venda;172750,0;1
2026-08-07 15:28:07.956;17061;venda;172700,0;0
2026-08-10 10:59:38.306;17336;venda;171850,0;0
2026-08-11 11:24:11.568;17797;venda;170700,0;0
2026-08-11 12:22:06.634;17837;venda;169600,0;1
2026-08-11 14:05:31.468;17891;venda;168300,0;1
