lado;j;i;dt;dia;score;cDiv;cAbs;cClx;cFlip;cCmp;cPav;y;bars
1;312;313;2026-06-29 12:37:19.375;2026-06-29;11,993788665501867;0,0;0,0;0,2208567409555814;0,7587204721689508;0,5368086436834425;0,0;0,0;1,0
1;313;314;2026-06-29 12:38:43.301;2026-06-29;32,963254187224855;0,6;0,0;0,2813148221138444;0,0;0,0;0,9523809523809526;1,0;6,0
-1;314;315;2026-06-29 12:51:48.927;2026-06-29;41,92080037398286;0,35;0,32683201495931413;0,5;0,41437372380649046;0,0;1,0;0,0;1,0
1;316;317;2026-06-29 13:06:40.951;2026-06-29;47,90936479766849;1,0;0,0;0,43031215992228294;0,0;0,0;1,0;1,0;2,0
-1;317;318;2026-06-29 13:07:31.383;2026-06-29;23,30010880806887;0,35;0,0;0,1954255114208187;0,0;0,08642142137436301;0,7823129251700681;0,0;2,0
-1;324;325;2026-06-29 13:24:56.238;2026-06-29;21,161932539077394;0,0;0,0074958422862403395;0,3658178827307127;0,0;0,0;1,0;0,0;2,0
1;325;326;2026-06-29 13:27:34.378;2026-06-29;25,15732637502458;0,35;0,0;0,24670383983001193;0,47419574378179674;0,0;0,9006211180124223;1,0;3,0
-1;337;338;2026-06-29 13:54:45.205;2026-06-29;23,99930398186941;0,0;0,01966196470759283;0,450258495472653;0,7509933470661024;0,0;1,0;0,0;3,0
1;340;341;2026-06-29 14:02:02.845;2026-06-29;34,06872139924248;0,35;0,05989477741938935;0,46071173212525807;0,08104543742759181;0,0;1,0;0,0;1,0
-1;342;343;2026-06-29 14:33:12.532;2026-06-29;33,53026123829333;0,35;0,0767988817547979;0,4286763064807794;0,8265708596017934;0,0;1,0;0,0;1,0
1;345;346;2026-06-29 14:54:10.862;2026-06-29;39,605928763653274;0,6;0,06434261138536282;0,43324544930064013;0,20111946942650924;0,0;1,0;1,0;3,0
-1;352;353;2026-06-29 15:44:35.419;2026-06-29;1,4777534327267816;0,0;0,0;0,0;0,8365417552452827;0,14777534327267816;0,0;1,0;3,0
-1;353;354;2026-06-29 15:47:38.908;2026-06-29;29,72502457817887;0,6;0,0;0,2070374746270124;0,3732627629922391;0,007234189781006334;0,8441558441558441;1,0;3,0
1;363;364;2026-06-29 16:44:36.707;2026-06-29;3,1265457791459306;0,0;0,0;0,10421819263819769;0,7117916083761138;0,0;0,0;1,0;3,0
1;364;365;2026-06-29 16:48:31.213;2026-06-29;35,00310998154119;0,6;0,0;0,3334369993847065;0,07512014457658739;0,0;1,0;0,0;5,0
-1;368;369;2026-06-29 17:38:02.615;2026-06-29;33,3117754477234;0,35;0,0;0,4853925149241133;0,0;0,0;1,0;0,0;3,0
1;370;371;2026-06-29 18:07:31.991;2026-06-29;10,114535614737894;0,35;0,0;0,0;0,9567837068617071;0,13645356147378937;0,0;0,0;1,0
1;371;372;2026-06-29 18:12:20.586;2026-06-29;24,98216552151995;0,35;0,0;0,24086514471319087;0,0;0,0;0,9006211180124223;0,0;4,0
-1;372;373;2026-06-29 18:20:52.794;2026-06-29;34,057101803324734;0,35;0,012284072132989298;0,5;0,09750825504163531;0,0;1,0;0,0;1,0
1;374;375;2026-06-30 09:03:09.597;2026-06-30;53,74282752153344;0,0;1,0;0,6247609173844483;0,0;0,0;1,0;0,0;2,0
-1;375;376;2026-06-30 09:03:11.684;2026-06-30;21,62562063204565;0,0;0,04337100544526422;0,4016205942541172;0,6733841417023703;0,005116922673208437;0,8441558441558441;1,0;2,0
1;378;379;2026-06-30 09:03:13.608;2026-06-30;23,960286503062807;0,6;0,0;0,21133824192319936;0,0;0,26201392453668243;0,0;0,0;1,0
1;381;382;2026-06-30 09:03:15.275;2026-06-30;45,83316880089788;0,6;0,16049375677564667;0,5606941627168903;0,39408929996100217;0,0;1,0;0,0;1,0
-1;382;383;2026-06-30 09:03:20.438;2026-06-30;23,848956790148108;0,35;0,0;0,5032985596716035;0,8790613457322547;0,0;0,0;0,0;3,0
-1;383;384;2026-06-30 09:03:27.227;2026-06-30;30,985339107218987;0,35;0,0;0,42371765278031537;0,8139908843381579;0,0;0,9523809523809526;0,0;1,0
1;384;385;2026-06-30 09:03:27.844;2026-06-30;10,005624245096918;0,0;0,0;0,18232561972274167;0,3475165637970399;0,4535855653414667;0,0;1,0;3,0
1;385;386;2026-06-30 09:03:30.557;2026-06-30;18,935898411030685;0,0;0,0;0,34981133231574146;0,1652439133389518;0,0;0,8441558441558441;1,0;3,0
-1;392;393;2026-06-30 09:03:47.386;2026-06-30;16,57913820860594;0,0;0,0;0,5526379402868646;0,0;0,0;0,0;0,0;5,0
-1;393;394;2026-06-30 09:03:49.058;2026-06-30;26,419899818855512;0,0;0,3158032498912597;0,33610867100051933;0,8736162197659065;0,0;0,8441558441558441;0,0;1,0
1;394;395;2026-06-30 09:03:49.058;2026-06-30;20,67805819242328;0,35;0,0;0,3976019397474427;0,0;0,0;0,0;1,0;3,0
1;396;397;2026-06-30 09:03:59.331;2026-06-30;40,84749429541336;0,35;0,2282052116070699;0,5464121335078872;1,0;0,0;1,0;0,0;3,0
-1;399;400;2026-06-30 09:04:04.785;2026-06-30;36,57513484543727;0,0;0,4374898166582333;0,5212629809660478;1,0;0,0;1,0;1,0;3,0
1;409;410;2026-06-30 09:04:23.128;2026-06-30;40,7784310899368;0,6;0,1119358918881462;0,43266779309110476;1,0;0,0;1,0;1,0;5,0
-1;412;413;2026-06-30 09:04:24.901;2026-06-30;14,905262219904408;0,35;0,0;0,15138733682631297;0,0;0,1613642115115019;0,0;0,0;1,0
-1;413;414;2026-06-30 09:04:26.338;2026-06-30;35,94399446968792;0,35;0,2663637940404372;0,35116332062256633;0,0;0,0;1,0;0,0;2,0
1;414;415;2026-06-30 09:04:29.038;2026-06-30;25,082647960956525;0,35;0,09495834351262351;0,20387295777915854;1,0;0,0019371388065499329;0,7823129251700681;0,0;3,0
-1;416;417;2026-06-30 09:04:29.487;2026-06-30;5,122154843459578;0,0;0,0;0,015323030916188248;0,0;0,466246391597393;0,0;0,0;3,0
-1;417;418;2026-06-30 09:04:32.060;2026-06-30;26,000002610704954;0,0;0,3525497387628345;0,2726682653836622;0,8596605390844425;0,0;0,9006211180124223;0,0;1,0
1;418;419;2026-06-30 09:04:32.981;2026-06-30;11,59408231813801;0,35;0,0;0,0192203910153009;0,0;0,2267470587678984;0,0;1,0;3,0
1;419;420;2026-06-30 09:04:40.513;2026-06-30;31,221520228798717;0,35;0,2054285460640192;0,2776531799024671;0,4820999467041447;0,0;0,9006211180124223;1,0;3,0
