dt;o;h;l;c;agb;ags;dur;qt;trd;dirn;is_rev;seq_before;wick;wick_net;trav;brk;newday;sujo;ok;dur_eff;agtot;unk_share;avg_trd;hora;dpos;minac;elig_ntsl;sinal;y;bars
2026-07-02 10:46:17.451;176850,0;176900,0;176760,0;176900,0;14752,0;12881,0;0,5;36965,0;9881,0;1;1;3;18,0;8,0;28,0;0;0;0;1;0,5;27633,0;0,25245502502367106;3,7410181155753466;10,766666666666667;0,46141479099678456;102,07999999999983;1;1;1,0;5,0
2026-07-02 10:48:36.601;176900,0;176950,0;176815,0;176950,0;13167,0;10305,0;0,52;32338,0;9217,0;1;1;3;17,0;7,0;27,0;0;0;0;1;0,52;23472,0;0,2741666151277135;3,5085168709992405;10,8;0,4666136724960254;104,33999999999982;1;1;0,0;1,0
2026-07-02 10:50:31.094;176500,0;176550,0;176440,0;176550,0;4656,0;2070,0;0,05;8894,0;2818,0;1;1;9;12,0;2,0;22,0;0;0;0;1;0,05;6726,0;0,24375983809309648;3,156139105748758;10,833333333333334;0,3394276629570747;106,1799999999998;1;1;1,0;3,0
2026-07-02 12:11:54.288;174700,0;174770,0;174650,0;174650,0;17602,0;19983,0;3,12;56871,0;17976,0;-1;1;5;14,0;4,0;24,0;0;0;0;1;3,12;37585,0;0,3391183555766559;3,1637182910547397;12,183333333333334;0,2647058823529412;186,04999999999984;1;1;1,0;3,0
2026-07-02 12:21:22.752;174550,0;174610,0;174500,0;174500,0;5946,0;9040,0;0,57;21748,0;5810,0;-1;1;6;12,0;2,0;22,0;0;0;0;1;0,57;14986,0;0,31092514254184295;3,743201376936317;12,35;0,3124006359300477;195,38999999999984;1;1;0,0;1,0
2026-07-02 13:25:49.372;174700,0;174760,0;174650,0;174650,0;15215,0;18246,0;3,3;50137,0;13533,0;-1;1;3;12,0;2,0;22,0;0;0;0;1;3,3;33461,0;0,33260865229271797;3,704795684622774;13,416666666666666;0,2647058823529412;259,40999999999985;1;1;0,0;7,0
2026-07-02 14:02:19.323;174700,0;174775,0;174650,0;174650,0;6550,0;10394,0;0,83;25105,0;6637,0;-1;1;4;15,0;5,0;25,0;0;0;0;1;0,83;16944,0;0,32507468631746667;3,7825824920897997;14,033333333333333;0,2647058823529412;295,72999999999985;1;1;0,0;1,0
2026-07-03 11:11:31.396;176500,0;176550,0;176405,0;176550,0;23609,0;22067,0;1,45;64833,0;19078,0;1;1;3;19,0;9,0;29,0;0;0;0;1;1,45;45676,0;0,29548223898323384;3,3983121920536745;11,183333333333334;0,34415584415584416;126,27999999999994;1;1;0,0;1,0
2026-07-03 11:19:17.726;176400,0;176450,0;176335,0;176450,0;16607,0;13301,0;1,52;45156,0;13260,0;1;1;3;13,0;3,0;23,0;0;0;0;1;1,52;29908,0;0,3376738417928957;3,4054298642533936;11,316666666666666;0,2792207792207792;133,98999999999992;1;1;1,0;3,0
2026-07-03 11:36:22.068;176450,0;176500,0;176385,0;176500,0;17850,0;11093,0;1,55;40691,0;11129,0;1;1;3;13,0;3,0;23,0;0;0;0;1;1,55;28943,0;0,2887124917057826;3,656303351603918;11,6;0,3116883116883117;150,99999999999994;1;1;1,0;3,0
