close_time,pattern,side,close,R,br0,br1,br2,wick0,openpos0,run_prev,aggdn0,aggdn1,daggdn,diverg0,aggt0,aggt_rel0,aggt_ratio01,agg_per_R,dur0,dur_rel0,dur_rel50,dur_ratio01,intens0,intens_rel,regime_dur,regime_aggt,hour,dow
2026-06-03 05:22:15,P2,1,4477.29,3.27,0.779817,1.0,0.993884,0.220183,0.220183,2,-0.105691,-0.228916,0.123225,-0.105691,6.423247,1.241171,3.704819,188.073394,5.218446,1.453847,2.378323,3.882272,1.469904,0.881608,4.846688,6.207583,5,3
2026-06-03 05:34:18,P2,1,4478.03,3.27,0.856269,0.737003,0.648318,0.143731,0.143731,2,0.066372,-0.078498,0.14487,0.066372,6.115892,0.91221,0.771331,138.2263,4.833651,0.971548,1.436519,0.94467,1.531606,1.016312,4.86229,6.207583,5,3
2026-06-03 05:44:16,P1,-1,4481.97,3.27,0.440367,0.64526,1.0,0.559633,0.440367,3,-0.015113,0.021084,-0.036198,-0.015113,6.678342,1.452882,1.195783,242.813456,5.223448,1.327558,1.800045,0.9098,1.66805,1.205867,4.941871,6.305362,5,3
2026-06-03 05:48:46,P1,1,4476.11,3.27,0.189602,0.990826,0.990826,0.810398,0.810398,3,-0.003165,-0.006803,0.003638,-0.003165,6.45047,1.052456,1.433107,193.272171,4.938115,1.024165,1.346336,1.643317,1.716128,1.20131,4.914411,6.399427,5,3
2026-06-03 05:57:33,P2,-1,4477.39,3.27,0.825688,0.865443,0.351682,0.174312,0.825688,3,-0.031776,-0.127273,0.095497,-0.031776,6.284134,0.954505,1.621212,163.608563,5.157531,1.277257,1.478117,1.867345,1.410311,0.852987,4.914411,6.330612,5,3
2026-06-03 06:11:28,P1,-1,4484.47,3.27,0.382263,0.779817,0.868502,0.617737,0.382263,3,-0.007874,0.015453,-0.023327,-0.007874,7.409742,2.749376,3.644592,504.892966,6.295786,3.456396,4.423015,3.853336,1.398758,0.864159,5.060079,6.399427,6,3
2026-06-03 09:00:16,P1,1,4459.75,3.27,0.256881,0.960245,0.914373,0.743119,0.743119,3,0.002674,-0.041597,0.044271,0.002674,6.618739,1.290768,1.244592,228.746177,4.845423,1.007821,0.761691,0.888042,1.935733,1.394112,4.837694,6.36389,9,3
2026-06-03 09:20:32,P2,-1,4467.48,3.27,0.938838,0.825688,0.577982,0.061162,0.938838,3,0.143654,-0.076605,0.220259,0.143654,6.57647,1.228792,1.484472,219.266055,4.877157,1.040574,0.893818,2.043632,1.872495,0.996835,4.837694,6.370757,9,3
2026-06-03 09:27:35,P2,1,4462.13,3.27,0.743119,0.954128,0.788991,0.256881,0.256881,4,0.056502,-0.083721,0.140223,0.056502,7.017506,1.910883,2.593023,340.978593,5.32157,2.096259,1.588424,3.675128,1.867733,0.95121,4.586757,6.370757,9,3
2026-06-03 09:35:04,P1,1,4460.43,3.27,0.370031,0.883792,0.737003,0.629969,0.629969,2,-0.049002,-0.168421,0.119419,-0.049002,6.313548,0.986571,0.966667,168.501529,4.034665,0.641655,0.464053,0.670304,2.390929,1.452478,4.47201,6.327044,9,3
2026-06-03 09:40:34,P1,-1,4460.79,3.27,0.425076,0.535168,0.370031,0.574924,0.425076,2,0.083203,-0.009317,0.092519,0.083203,7.150701,2.098847,1.978261,389.602446,5.550402,2.824865,2.325563,3.49305,1.786737,0.749855,4.519008,6.410175,9,3
2026-06-03 09:43:32,P1,1,4461.18,3.27,0.370031,0.250765,0.425076,0.629969,0.629969,2,0.517241,-0.042631,0.559872,0.517241,3.401197,0.047776,0.035323,8.868502,1.354288,0.031671,0.027697,0.016425,2.406086,1.571992,4.519008,6.410175,9,3
