Data;tipo;dir;preco_virada;bricks_anteriores;bricks_novos;cont_apos_2;len_seq;next_len;price_move_seq;Quantity;Trades
2026-06-23 11:26:54.269;Pivô de Baixa → Alta (compra);1;173500;6;6;4;6;1;250;24108;2478
2026-06-23 11:31:04.960;Pivô de Alta → Baixa (venda);-1;173650;1;2;0;2;1;50;47135;5514
2026-06-23 11:33:01.558;Pivô de Alta → Baixa (venda);-1;173600;1;2;0;2;3;50;30547;3653
2026-06-23 11:34:02.156;Pivô de Baixa → Alta (compra);1;173650;2;3;1;3;1;100;50911;6136
2026-06-23 11:40:27.269;Pivô de Baixa → Alta (compra);1;173750;1;4;2;4;2;150;12888;1622
2026-06-23 11:44:02.059;Pivô de Alta → Baixa (venda);-1;173800;4;2;0;2;7;50;30258;3534
2026-06-23 11:45:32.694;Pivô de Baixa → Alta (compra);1;173850;2;7;5;7;6;300;14585;1679
2026-06-23 11:52:36.501;Pivô de Alta → Baixa (venda);-1;174050;7;6;4;6;4;250;54719;6207
2026-06-23 11:58:38.744;Pivô de Baixa → Alta (compra);1;173900;6;4;2;4;1;150;23490;2762
2026-06-23 12:01:27.590;Pivô de Baixa → Alta (compra);1;174050;1;5;3;5;2;200;24128;2945
2026-06-23 12:06:22.721;Pivô de Alta → Baixa (venda);-1;174150;5;2;0;2;1;50;34112;3509
2026-06-23 12:10:00.592;Pivô de Alta → Baixa (venda);-1;174100;1;3;1;3;1;100;31816;3453
2026-06-23 12:15:03.080;Pivô de Alta → Baixa (venda);-1;174000;1;5;3;5;1;200;30102;3791
2026-06-23 12:31:10.483;Pivô de Alta → Baixa (venda);-1;173800;1;6;4;6;1;250;21849;2210
2026-06-23 12:43:06.285;Pivô de Alta → Baixa (venda);-1;173550;1;2;0;2;20;50;67260;7571
2026-06-23 12:47:22.663;Pivô de Baixa → Alta (compra);1;173600;2;20;18;20;5;950;58986;6802
2026-06-23 13:10:07.296;Pivô de Alta → Baixa (venda);-1;174450;20;5;3;5;4;200;65628;7119
2026-06-23 13:18:12.593;Pivô de Baixa → Alta (compra);1;174350;5;4;2;4;1;150;48646;5870
2026-06-23 13:32:23.642;Pivô de Baixa → Alta (compra);1;174500;1;5;3;5;6;200;26853;2632
2026-06-23 13:33:12.534;Pivô de Alta → Baixa (venda);-1;174600;5;6;4;6;1;250;12104;1073
2026-06-23 14:00:08.526;Pivô de Alta → Baixa (venda);-1;174350;1;3;1;3;4;100;45201;5306
2026-06-23 14:07:59.982;Pivô de Baixa → Alta (compra);1;174350;3;4;2;4;1;150;60517;7606
2026-06-23 14:25:36.617;Pivô de Baixa → Alta (compra);1;174500;1;2;0;2;2;50;44762;4621
2026-06-23 14:29:04.378;Pivô de Alta → Baixa (venda);-1;174450;2;2;0;2;1;50;38680;4074
2026-06-23 14:37:46.067;Pivô de Baixa → Alta (compra);1;174500;1;3;1;3;1;100;59227;6721
2026-06-23 15:01:10.823;Pivô de Alta → Baixa (venda);-1;174500;1;3;1;3;1;100;39014;5208
2026-06-23 15:10:02.247;Pivô de Alta → Baixa (venda);-1;174400;1;6;4;6;2;250;114601;12680
2026-06-23 15:30:05.827;Pivô de Baixa → Alta (compra);1;174250;6;2;0;2;3;50;62337;5848
2026-06-23 15:38:27.559;Pivô de Alta → Baixa (venda);-1;174200;2;3;1;3;1;100;38600;4396
2026-06-23 15:53:12.166;Pivô de Baixa → Alta (compra);1;174200;1;5;3;5;1;200;73451;9006
2026-06-23 16:13:42.732;Pivô de Baixa → Alta (compra);1;174400;1;8;6;8;9;350;133824;13363
2026-06-23 16:36:03.274;Pivô de Alta → Baixa (venda);-1;174650;8;9;7;9;9;400;68115;6702
2026-06-23 17:00:35.665;Pivô de Baixa → Alta (compra);1;174350;9;9;7;9;1;400;104739;9632
2026-06-23 18:00:05.911;Pivô de Baixa → Alta (compra);1;174750;1;4;2;4;1;150;17346;2153
2026-06-23 18:14:27.566;Pivô de Alta → Baixa (venda);-1;174800;1;7;5;7;2;300;45868;5680
2026-06-24 09:03:20.495;Pivô de Baixa → Alta (compra);1;174600;7;2;0;2;5;50;13952;1994
2026-06-24 09:03:25.640;Pivô de Alta → Baixa (venda);-1;174550;2;5;3;5;2;200;13281;1783
2026-06-24 09:03:39.055;Pivô de Baixa → Alta (compra);1;174450;5;2;0;2;7;50;28253;3828
2026-06-24 09:03:50.825;Pivô de Alta → Baixa (venda);-1;174400;2;7;5;7;1;300;14965;1868
2026-06-24 09:04:05.205;Pivô de Alta → Baixa (venda);-1;174100;1;5;3;5;2;200;7350;883
2026-06-24 09:04:21.443;Pivô de Baixa → Alta (compra);1;174000;5;2;0;2;2;50;24270;3079
2026-06-24 09:04:30.912;Pivô de Alta → Baixa (venda);-1;173950;2;2;0;2;5;50;7532;820
2026-06-24 09:04:35.104;Pivô de Baixa → Alta (compra);1;174000;2;5;3;5;1;200;9628;1334
2026-06-24 09:05:01.145;Pivô de Baixa → Alta (compra);1;174200;1;2;0;2;5;50;4162;527
