index;date;pivot;entry;body;range;upper_wick;lower_wick;upper_wick_ratio;lower_wick_ratio;quantity;trades;duration;run_length;prev_quantity;prev_trades;prev_duration;future_move;adverse_move;net_move;quantity_percentile;trades_percentile;wick_imbalance;quantity_q;trades_q;wick_q
440;2026-06-23 10:28:45.321;HIGH;172200;50;110;60;0;0,5454545454545454;0,0;12751;1271;0,05;13;9740;897;0,05;35;360;-325;0,5350636980592928;0,5332182402666984;-60;2;2;1
447;2026-06-23 10:30:46.596;HIGH;172450;50;110;60;0;0,5454545454545454;0,0;11591;1133;0,05;6;13764;1213;0,08;150;350;-200;0,5223240862007382;0,5156566257887844;-60;2;2;1
450;2026-06-23 10:31:07.124;LOW;172450;50;150;0;100;0,0;0,6666666666666666;21834;2257;0,17;3;9574;767;0,05;400;35;365;0,6300750089296345;0,6451363257530658;100;2;2;3
458;2026-06-23 10:32:03.293;HIGH;172700;50;125;75;0;0,6;0,0;23684;2338;0,13;8;28139;2589;0,11;5;255;-250;0,6494820812001428;0,6537087748541494;-75;2;2;0
463;2026-06-23 10:32:54.983;HIGH;172850;50;105;55;0;0,5238095238095238;0,0;10492;1303;0,08;4;13863;1180;0,06;150;185;-35;0,5114299321347779;0,5380402428860579;-55;2;2;1
466;2026-06-23 10:33:36.045;LOW;172850;50;150;0;100;0,0;0,6666666666666666;36176;3422;0,4;3;42480;4145;0,5;200;35;165;0,7641385879271342;0,7574115966186451;100;3;3;3
469;2026-06-23 10:34:06.294;HIGH;172850;50;115;65;0;0,5652173913043478;0,0;43502;4412;0,4;3;6199;384;0,01;35;235;-200;0,8170020240504822;0,8259316585307774;-65;3;3;1
472;2026-06-23 10:34:46.781;HIGH;172900;50;135;85;0;0,6296296296296297;0,0;39755;4139;0,39;2;7047;234;0,01;75;200;-125;0,7887248481962138;0,8096201928801048;-85;3;3;0
474;2026-06-23 10:36:00.321;LOW;172950;50;125;0;75;0,0;0,6;20255;1922;0,25;2;45021;5548;0,83;150;150;0;0,6136444814858911;0,6107274675556614;75;2;2;2
477;2026-06-23 10:36:16.711;HIGH;172950;50;135;85;0;0,6296296296296297;0,0;43043;5006;0,4;3;7527;340;0,01;300;150;150;0,8123586141207286;0,8609953565900702;-85;3;3;0
479;2026-06-23 10:37:03.117;LOW;173000;50;145;0;95;0,0;0,6551724137931034;29501;2804;0,38;2;23406;2409;0,36;100;390;-290;0,7113942135968567;0,7002024050482201;95;2;2;3
481;2026-06-23 10:37:27.956;HIGH;172950;50;150;100;0;0,6666666666666666;0,0;37015;4452;0,49;2;7417;606;0,02;340;0;340;0,769615430408382;0,8289082033575426;-100;3;3;0
488;2026-06-23 10:39:10.191;LOW;172750;50;140;0;90;0,0;0,6428571428571429;31076;3561;0,39;7;49662;6053;0,7;165;150;15;0,7241338254554114;0,7678295035123229;90;2;3;3
492;2026-06-23 10:39:38.101;HIGH;172800;50;115;65;0;0,5652173913043478;0,0;27162;3105;0,3;4;3999;182;0,0;270;10;260;0,6877009167758067;0,7283605191094178;-65;2;2;1
495;2026-06-23 10:40:24.999;LOW;172800;50;150;0;100;0,0;0,6666666666666666;47426;5635;0,86;3;24418;3084;0,38;10;270;-260;0,8403381354923205;0,8835575663769496;100;3;3;3
500;2026-06-23 10:42:00.788;LOW;172650;50;120;0;70;0,0;0,5833333333333334;35569;3911;0,49;4;20248;2141;0,11;110;350;-240;0,7599714251696631;0,7904512441957375;70;3;3;2
503;2026-06-23 10:43:01.491;HIGH;172650;50;110;60;0;0,5454545454545454;0,0;18417;2201;0,39;3;17338;1985;0,24;360;30;330;0,5951303726634123;0,6391237052030003;-60;2;2;1
511;2026-06-23 10:44:45.680;LOW;172400;50;110;0;60;0,0;0,5454545454545454;8577;1136;0,06;8;11058;1253;0,06;70;195;-125;0,4945826884152875;0,516370996547208;60;1;2;2
513;2026-06-23 10:45:40.054;HIGH;172350;50;120;70;0;0,5833333333333334;0,0;10701;1123;0,16;2;40919;5870;0,84;145;100;45;0,5136325753065841;0,5147041314442196;-70;2;2;1
515;2026-06-23 10:46:23.717;LOW;172400;50;135;0;85;0,0;0,6296296296296297;27383;3252;0,32;2;26114;3410;0,55;100;195;-95;0,690915585188713;0,7415168472437195;85;2;2;3
518;2026-06-23 10:47:10.536;LOW;172350;50;145;0;95;0,0;0,6551724137931034;31677;2872;0,27;2;9859;842;0,12;230;120;110;0,7290153589713061;0,7066317418740327;95;2;2;3
