regra,n_tr,n_te,lok_tr,lok_te,ic_te,lcont_tr,lcont_te,ok_te,R_te
tarde,1341,1193,-0.027805280247568318,-0.018585871614725146,0.027511555067481458,-0.012439333724545518,-0.017779591141601082,0.5113160100586757,
cdelta_fav,6767,4189,-0.012496252966165338,-0.005422266897047536,0.014768129526460994,-0.0036060145835040604,-0.005366862691617024,0.5099068990212461,
cdelta_ctr,3405,2045,-0.008090263276577489,0.007037137092469226,0.02116009628659722,-0.004932112896889046,0.004027338518021432,0.5843520782396088,
cimb20_fav,273,101,0.0014895811172882867,-0.08883453530632054,0.09188044780495139,0.011748473796897932,-0.08428370593719173,0.4158415841584158,
contra>0 & contra3>0,286,156,-0.015917136846482632,0.010149700585634783,0.0756435878554705,0.029384890436573254,-0.005239478233290484,0.6538461538461539,
contra>0 & pavio>=115,391,229,-0.03314674677396868,-0.020151297536165912,0.06252442274315564,0.01966928670719624,-0.031755860156806585,0.6331877729257642,
contra>0 & seq=1,349,194,-0.005870646905412349,-0.021976562306795806,0.06794984105060686,0.03397845566239542,-0.036128603035648285,0.6288659793814433,
contra>0 & rqtd>1.5,213,123,-0.04809268943951603,0.014132610668122155,0.08446776658626079,0.003999331353212452,0.024106312225806545,0.6666666666666666,
contra>0 & rdur>1.5,207,117,-0.043014764524321195,0.03922881777449994,0.08610618404329125,-0.01453441014599141,0.010286738865676322,0.6752136752136753,
contra>0 & acel>2,245,125,-0.013871763821913984,-0.006663803647007332,0.08498515790756066,0.023071644138030825,-0.05058066522521486,0.632,
contra>0 & relqtd>2,256,136,-0.008666795170463436,-0.036147585234145886,0.0825061443512125,0.03127083428986508,-0.08071504697046461,0.6102941176470589,
contra>0 & tend5>0,274,164,-0.028234250803697833,-0.0030612253646623735,0.07475482646444913,0.006044664241508324,-0.043819349858265036,0.6219512195121951,
contra>0 & manha,391,214,-0.017153524072308583,-0.01859088416145264,0.0653803117731136,0.02266986999620548,-0.041396654827484225,0.6261682242990654,
contra>0 & cdelta_fav,209,128,-0.016111709633954013,0.0068763934999976455,0.0835792971221306,0.012670417525186878,-0.033741224225258326,0.6328125,
contra>0 & cdelta_ctr,252,139,-0.03819190282847339,0.008143889719023838,0.08078061005829318,0.015543306428245448,-0.015110602418516327,0.6546762589928058,
contra<-.4 & contra<-.6,1086,646,-0.02586360462507682,-0.01576808008253538,0.03746200143501904,-0.021609528397668696,0.014156425349960595,0.38854489164086686,
contra<-.4 & contra3<-.3,1438,869,-0.02027541761901479,0.008701667871599704,0.03273842784869827,-0.00561151647215949,0.013809139529122159,0.42692750287687,
contra<-.4 & pavio=50,689,416,-0.03851525686473532,-0.00023514075443053633,0.04657873241354913,-0.03510692836158774,0.012743216776293241,0.375,
contra<-.4 & pavio<=65,1870,1131,-0.01629680783390832,-0.007368280086682746,0.028474532184488116,-0.015410482411130941,0.0035841524960959514,0.39345711759504864,
contra<-.4 & seq>=3,1655,987,-0.013147883467637431,-0.0013963633280632659,0.03060946376700305,-0.000575966791840016,0.009269297146955837,0.41843971631205673,
contra<-.4 & seq>=5,650,384,-0.027742262710630593,0.015116608610767246,0.04919923936069613,-0.01161414189564627,0.01618047882266806,0.4296875,
contra<-.4 & rqtd<0.6,1956,1196,-0.011611169985772255,0.0028453286023324776,0.027778639186485238,-0.002524429838219561,0.006181770440627207,0.4230769230769231,
contra<-.4 & rdur<0.6,2343,1458,-0.008125608881800936,-0.0007679031280918502,0.025216354840212476,0.005712448323834409,0.004380508897941198,0.4218106995884774,
contra<-.4 & part>.85,391,268,-0.01940023871462615,-0.016444673966997062,0.058268999897918915,0.013908989469202814,0.007229141653452672,0.39925373134328357,
contra<-.4 & part<.70,340,157,0.059203297416744086,-0.005371927853077727,0.0775668077889444,0.025173676574566706,0.03863133205080601,0.445859872611465,
contra<-.4 & vel_alta,1609,931,-0.02437619101120133,0.0030934032829533884,0.031495969372604446,-0.0067089748671750014,0.01119076230310637,0.41568206229860366,
contra<-.4 & acel<0.5,1938,1172,-0.011393960435736301,-0.0014312756724257987,0.028029773339392286,-0.008470275687753671,0.005886152319820338,0.4197952218430034,
contra<-.4 & relqtd<0.5,1466,890,-0.0032028498076853776,-0.0026621425516988807,0.032126279874365074,-0.007521426630958672,-0.0014627456939682705,0.41797752808988764,
contra<-.4 & tend5>0,2185,1315,-0.01482846430257877,0.0002773645741662886,0.026543710167379844,-0.004079222472871032,0.004306353009303937,0.423574144486692,
contra<-.4 & tend5forte,1450,872,-0.010794063924621207,0.006848699641305257,0.03263109085806409,-0.0027722893188301093,0.019601678042112745,0.42660550458715596,
contra<-.4 & viradas5>=3,332,200,-0.009656501423947032,-0.026822929690435718,0.0674206706444404,-0.01198891349398396,-0.032597648037170066,0.41,
contra<-.4 & viradas5<=1,1499,896,-0.008676469390553762,0.022913679433966026,0.032322815722297255,-0.007896209947597009,0.02196407091140368,0.4453125,
contra<-.4 & manha,2108,1143,-0.007283326515635769,0.010892419778173018,0.02851134125719838,-0.0010646479145756324,0.0050391451427017325,0.43919510061242345,
contra<-.4 & tarde,264,239,-0.03986881713973037,-0.047762936755274966,0.06055183400903619,-0.001252662837886352,-0.042394810558853746,0.37656903765690375,
contra<-.4 & cdelta_fav,2095,1285,-0.015029907135727053,-0.0016478351132268479,0.026781990005521825,0.001404670836565169,0.004903132244922073,0.4217898832684825,
contra<-.4 & cdelta_ctr,560,305,0.009334735454712877,0.04134455624611904,0.055554139154570595,-0.001528424894996678,0.021143441698045065,0.4819672131147541,
contra<-.6 & contra3<-.3,671,402,-0.034018566341063074,-0.011440149445392908,0.047487790806271794,-0.02589028075896296,0.01684024128026217,0.39054726368159204,
contra<-.6 & pavio=50,431,256,-0.03184766975675071,-0.011953890754430516,0.05903115657981584,-0.01624237130152222,0.03197398600706247,0.36328125,
contra<-.6 & pavio<=65,960,569,-0.01736426805326367,-0.017886190728527436,0.039823150289636886,-0.018623707132523745,0.02270956906708208,0.37785588752196836,
contra<-.6 & seq>=3,681,412,-0.03833780228130761,-0.020912253146108034,0.046628908207499015,-0.022358244207668646,0.004677285423811938,0.38106796116504854,
contra<-.6 & seq>=5,258,139,-0.061781364270777336,-0.002687819462959381,0.08147041802728057,-0.04437235147222546,-0.003946194213992051,0.39568345323741005,
contra<-.6 & rqtd<0.6,954,564,-0.02945277155502612,-0.004982866814158804,0.040227247653980294,-0.023768913121205895,0.022079713144969062,0.3971631205673759,
contra<-.6 & rdur<0.6,1051,633,-0.028558141430317707,-0.01795249547098176,0.037838075179130536,-0.02034827202093045,0.01584280023320651,0.3854660347551343,
contra<-.6 & part>.85,248,175,-0.05665976424006803,-0.05393946014972328,0.07042623159084388,-0.025952945953351302,0.004414813061858131,0.3485714285714286,
contra<-.6 & vel_alta,932,536,-0.035316065264391495,-0.024586343855602755,0.04103136680215732,-0.029654539221797612,0.016176558569415734,0.376865671641791,
contra<-.6 & acel<0.5,978,564,-0.025612544432888455,-0.011218417907391146,0.0401533775449041,-0.01761560190124749,0.01689079329777928,0.39184397163120566,
contra<-.6 & relqtd<0.5,776,439,-0.02170127709562368,-0.01396608072153616,0.045525090231374264,-0.0197460842080432,-0.001317758809529938,0.3895216400911162,
contra<-.6 & tend5>0,933,546,-0.026129488786210547,-0.020765208865698027,0.04061582159999831,-0.02185320887208964,0.008866781169395776,0.38278388278388276,
