regra,n,por_dia,p,p_acaso,lift,pts,pts_acaso,n_tr,p_tr,n_te,p_te,pts_te,lift_tr,lift_te
perna>=3 & perna>=4,1814,51.82857142857143,0.37045203969129,0.38331331222015946,-0.012861272528869483,5.567805953693495,7.496996833023916,1119,0.36907953529937443,695,0.3726618705035971,5.899280575539568,-0.014233776920785035,-0.010651441716562349
perna>=3 & perna>=5,1223,34.94285714285714,0.3671300081766149,0.3842180546726001,-0.01708804649598522,5.069501226492232,7.632708200890019,748,0.37433155080213903,475,0.35578947368421054,3.3684210526315788,-0.009886503870461083,-0.028428580988389573
perna>=3 & pernapts>=200,1814,51.82857142857143,0.37045203969129,0.38331331222015946,-0.012861272528869483,5.567805953693495,7.496996833023916,1119,0.36907953529937443,695,0.3726618705035971,5.899280575539568,-0.014233776920785035,-0.010651441716562349
perna>=3 & pernapts>=300,841,24.02857142857143,0.36504161712247324,0.3809141940657578,-0.01587257694328459,4.756242568370987,7.137129109863673,512,0.37890625,329,0.3434650455927052,1.5197568389057752,-0.0020079440657578274,-0.03744914847305264
perna>=3 & pernapav>=90,1282,36.628571428571426,0.3876755070202808,0.37816455696202533,0.009510950058255474,8.151326053042121,6.724683544303797,793,0.39848675914249687,489,0.37014314928425357,5.521472392638037,0.020322202180471538,-0.008021407677771764
perna>=3 & pav<=110,597,17.057142857142857,0.3969849246231156,0.3885063931431783,0.008478531479937268,9.547738693467336,8.275958971476745,372,0.40053763440860213,225,0.39111111111111113,8.666666666666666,0.01203124126542382,0.0026047179679328236
perna>=3 & pav>=130,1160,33.142857142857146,0.375,0.37896253602305474,-0.003962536023054741,6.25,6.844380403458214,712,0.37640449438202245,448,0.37276785714285715,5.915178571428571,-0.0025580416410322937,-0.0061946788801975905
perna>=3 & pav=150,222,6.3428571428571425,0.3738738738738739,0.3790160642570281,-0.0051421903831542215,6.081081081081081,6.852409638554217,127,0.3700787401574803,95,0.37894736842105264,6.842105263157895,-0.008937324099547783,-6.869583597546303e-05
perna>=3 & pav1<=70,1391,39.74285714285714,0.37167505391804456,0.3857754228652945,-0.01410036894724992,5.7512580877066855,7.866313429794172,855,0.37660818713450295,536,0.36380597014925375,4.57089552238806,-0.009167235730791534,-0.021969452716040727
perna>=3 & pav1>=110,525,15.0,0.3961904761904762,0.3764404609475032,0.019750015242972985,9.428571428571429,6.46606914212548,314,0.39490445859872614,211,0.3981042654028436,9.71563981042654,0.01846399765122292,0.021663804455340385
perna>=3 & pav2<=70,1357,38.77142857142857,0.3765659543109801,0.38214064755619714,-0.005574693245217033,6.484893146647016,7.321097133429573,827,0.3615477629987908,530,0.4,10.0,-0.02059288455740632,0.01785935244380288
perna>=3 & pav2>=110,510,14.571428571428571,0.3803921568627451,0.38820534577853205,-0.007813188915786973,7.0588235294117645,8.230801866779805,314,0.4012738853503185,196,0.3469387755102041,2.0408163265306123,0.013068539571786442,-0.04126657026832797
perna>=3 & efic20>=0.5,1052,30.057142857142857,0.38783269961977185,0.37801778907242695,0.009814910547344902,8.17490494296578,6.702668360864041,618,0.38673139158576053,434,0.38940092165898615,8.410138248847927,0.008713602513333585,0.011383132586559208
perna>=3 & efic20<=0.25,694,19.82857142857143,0.3472622478386167,0.38263974728746053,-0.03537749944884383,2.089337175792507,7.395962093119077,434,0.3433179723502304,260,0.35384615384615387,3.076923076923077,-0.0393217749372301,-0.028793593441306664
perna>=3 & efic50>=0.5,1214,34.68571428571428,0.36902800658978585,0.38458918688803745,-0.015561180298251598,5.354200988467875,7.68837803320562,721,0.37586685159500693,493,0.359026369168357,3.8539553752535496,-0.008722335293030514,-0.025562817719680442
perna>=3 & efic50<=0.25,644,18.4,0.36024844720496896,0.3715403969807101,-0.011291949775741161,4.037267080745342,5.731059547106514,428,0.3598130841121495,216,0.3611111111111111,4.166666666666667,-0.011727312868560602,-0.010429285869599014
perna>=3 & vira20<=5,888,25.37142857142857,0.37725225225225223,0.3872523325296153,-0.010000080277363044,6.587837837837838,8.08784987944229,535,0.38878504672897196,353,0.3597733711048159,3.9660056657223794,0.0015327141993566884,-0.027478961424799386
perna>=3 & vira20>=9,351,10.028571428571428,0.3903133903133903,0.3798720186154741,0.010441371697916202,8.547008547008547,6.980802792321117,237,0.4050632911392405,114,0.35964912280701755,3.9473684210526314,0.025191272523766406,-0.020222895808456542
perna>=3 & vira50<=14,886,25.314285714285713,0.3860045146726862,0.3775614754098361,0.008443039262850116,7.900677200902934,6.63422131147541,540,0.4074074074074074,346,0.35260115606936415,2.8901734104046244,0.029845931997571296,-0.024960319340471937
perna>=3 & amp20>=500,1373,39.22857142857143,0.3911143481427531,0.38310580204778155,0.008008546094971536,8.667152221412964,7.465870307167235,831,0.3862815884476534,542,0.3985239852398524,9.77859778597786,0.0031757863998718716,0.015418183192070833
perna>=3 & dext20<=0.5,1597,45.628571428571426,0.36130244207889795,0.3773491897221024,-0.016046747643204462,4.19536631183469,6.6023784583153615,989,0.358948432760364,608,0.3651315789473684,4.769736842105263,-0.01840075696173843,-0.012217610774733989
