price,score,n_events,unique_days,unique_weeks,unique_months,span_days,first_event,last_event,mean_strength,median_strength,max_strength,mean_reaction,n_scales,n_sources,mean_rel_volume,decayed_touches,c__scale_weight,c__n_pairs,c_touch,c_reaction,c_temporal,c_scale,c_volume,c_recency,c_confluence
112945.0000,88.8000,33,28,21,14,756.8062,2021-09-09 15:04:00,2023-10-06 10:25:00,2.7141,2.6833,4.0000,2491.9697,4,1,2.0692,5.0221,4.3000,4.0000,0.8464,0.7927,0.9038,0.7082,0.1877,0.3939,0.7218
112700.0000,88.6000,61,43,28,15,618.1313,2021-09-22 11:02:00,2023-06-02 14:11:00,2.4199,2.3000,4.0000,2078.2787,4,1,2.2469,9.2864,4.3000,4.0000,0.9966,0.4394,0.9606,0.7082,0.3720,0.6147,0.7218
112455.0000,83.8000,52,38,24,14,744.0174,2021-09-22 09:17:00,2023-10-06 09:42:00,2.3235,2.1859,4.0000,1921.5385,4,1,2.1276,7.9090,4.3000,4.0000,0.9761,0.3166,0.9479,0.7082,0.2594,0.5863,0.7218
112210.0000,86.7000,58,41,27,16,625.8069,2021-09-17 15:56:00,2023-06-05 11:18:00,2.3687,2.2708,4.0000,2212.7586,4,1,2.1457,8.8291,4.3000,4.0000,0.9932,0.3908,0.9651,0.7082,0.2765,0.6085,0.7218
111965.0000,89.5000,45,39,27,15,744.0625,2021-09-22 09:40:00,2023-10-06 11:10:00,2.5159,2.5464,4.0000,2464.3333,4,1,1.9597,6.8600,4.3000,4.0000,0.9556,0.6237,0.9594,0.7082,0.1058,0.5573,0.7218
111475.0000,85.1000,46,31,22,14,613.0069,2021-09-17 13:28:00,2023-05-23 13:38:00,2.4259,2.2923,3.8851,1906.0870,4,1,2.3167,6.9892,4.3000,4.0000,0.9642,0.3703,0.9224,0.7082,0.4437,0.5413,0.7218
111230.0000,83.5000,54,36,26,14,607.1160,2021-09-29 09:05:00,2023-05-29 11:52:00,2.2351,2.1023,4.0000,2078.9815,4,1,2.3713,8.2544,4.3000,4.0000,0.9846,0.2423,0.9334,0.7082,0.4846,0.5846,0.7218
110740.0000,86.3000,54,38,28,14,615.2347,2021-09-21 09:01:00,2023-05-29 14:39:00,2.3425,2.2643,4.0000,2270.3704,4,1,2.2601,8.2674,4.3000,4.0000,0.9846,0.3780,0.9431,0.7082,0.3823,0.5881,0.7218
110495.0000,86.3000,42,33,22,16,604.0715,2021-09-29 10:46:00,2023-05-26 12:29:00,2.4130,2.3749,4.0000,2298.2143,4,1,2.1830,6.4055,4.3000,4.0000,0.9454,0.4804,0.9384,0.7082,0.3106,0.5096,0.7218
110250.0000,91.1000,49,37,29,16,610.0569,2021-09-21 11:01:00,2023-05-24 12:23:00,2.4726,2.4277,4.0000,2319.6939,4,1,2.4277,7.4913,4.3000,4.0000,0.9727,0.5469,0.9504,0.7082,0.5256,0.5625,0.7218
110005.0000,87.7000,40,31,24,14,604.0535,2021-09-20 10:31:00,2023-05-17 11:48:00,2.5836,2.5099,4.0000,2652.3750,4,1,1.8517,6.0864,4.3000,4.0000,0.9334,0.6570,0.9190,0.7082,0.0546,0.4877,0.7218
