,AggBuyNorm,AggSellNorm,AggBalanceNorm,AggTotalNorm,QuantityNorm,TradesNorm,DurationResidual,Range,BodyNorm,Direction,CloseLocation,OpenLocation,UpperWickNorm,LowerWickNorm,WickTotalNorm,WickAsym,AggImbalance,BuyShare,SellShare,AggBalanceChange,AggBalanceAcceleration,AggImbalanceChange,DirVsAggDivergence,AggPerBrickProgress,QuantityPerTrade,TradesPerQuantity,AggTotalPerQuantity,AggTotalPerTrade,AggShareOfQuantity,QuantityResidual20,TradesResidual20,AggTotalResidual20,QuantityRatio20,TradesRatio20,AggTotalRatio20,QuantityPerTradeRatio20,ConsecutiveUpCount,ConsecutiveDownCount,RunLength,SignedRunLength,BodyNormMean3,BodyNormMean5,AggBalanceNormMean3,AggBalanceNormMean5,AggTotalNormMean3,AggTotalNormMean5,DurationResidualMean3,DurationResidualMean5,CloseChange1Bricks,CloseChange2Bricks,CloseChange3Bricks,RangeMean5,RangeRatio20,AggBalanceRunSum,AggBalanceNormMean3Change,DurationRatio20,DurationResidualPct,LogDuration,LogDurationResidual20,DeltaTLog,SecondsSinceSessionOpen,HourOfDay
CloseLocation,0.2189089752602765,-0.26521027401011116,0.7620259882980612,-0.025768519466547176,-0.024530142749894776,-0.0254020385686762,-0.0005809509011890341,-0.009912846789101376,0.015091661516384294,1.0,1.0,-0.43502294319225165,-0.7650872330312065,0.755025120200283,-0.015091661516384278,-0.855777392295512,0.7191877829839294,0.6617933468006767,-0.6948453623893639,0.4613082046831661,0.1849549792026446,0.42786911799999433,-0.1270653745998856,-0.016075947748366404,-0.02286094748257252,-0.019963022702195136,-0.03238573805067808,-0.025872436798219305,-0.03238573805067808,-0.01045028035947849,-0.008639723306849537,-0.010617318413362633,-0.01092704722558422,-0.009321540760262285,-0.010601483755173243,-0.020336549069920128,0.43527093180761134,-0.6148677050720309,0.01786185630652909,0.6311415922206345,0.01034553445957456,0.01199671410295762,0.5052900380322752,0.3765502228250302,-0.020638760168361706,-0.019943620215704765,0.00018302518479263659,0.0016834910803877096,0.9428588515512875,0.8947197978942877,0.7945259707095981,-0.004869308792952179,-0.0028858716070045195,0.6452868916369672,0.5238862187856141,-0.0006953257675182326,0.002050328281357369,-0.026517867872937504,-0.01583728691243054,-0.010887511593139998,-0.005703304889114625,-0.0038669742422943873
OpenLocation,-0.1695521280754197,0.218829406841832,-0.6114315266034642,0.027070419063831813,0.024296734955567396,0.026702975709047262,0.002199014897961739,0.014205436084619518,-0.018360255136477162,-0.435022943192252,-0.43502294319225165,1.0,-0.0744584105910931,0.09174926182810236,0.018360255136477162,-0.09354396707570492,-0.7387661943548551,-0.6659923714353727,0.7275665907455569,-0.12059859065298788,0.10703001899409713,-0.2515192297822955,-0.04333589163347824,0.017054553146155064,0.022310795413588633,0.047183086971009265,0.07196481977917066,0.05354348769352391,0.07196481977917066,0.010120060737050534,0.009312492684203338,0.012058085310121928,0.014949018926487647,0.016753330835216466,0.02039923835374692,0.02564932215576413,-0.36550754857457,0.44508198278704963,-0.061092180751530466,-0.49422622073030287,-0.02711895508930202,-0.03066295842278154,-0.5671146631573467,-0.44171928425069584,0.026443022817216902,0.022655981929522753,0.0035158853488573153,-0.0013906899999815482,-0.22511519373000996,-0.5969463499820785,-0.6201511497261657,0.01975056155544288,0.0038053871773708835,-0.5055484732677222,-0.3890193299182934,0.009106679931552104,0.006460515028624313,0.03118186958831145,0.025979572698131264,0.018152149545060562,0.0062393090931440525,0.006972121174824539
UpperWickNorm,-0.005590247735503892,0.2677253114670957,-0.4321780102032398,0.13899586881742354,0.14492070376461574,0.1515471778851166,0.007694919482540121,0.4445775806568676,-0.46382738626625086,-0.765087233031207,-0.7650872330312065,-0.0744584105910931,1.0,-0.5776600800830864,0.4638273862662508,0.8887559479732694,-0.3292040872102729,-0.27390730074874775,0.34706223981034423,-0.38818451694879824,-0.23464308232120126,-0.2942469529534129,0.1433948754773425,0.2198415824115146,0.05529826516121601,0.02059571487694043,-0.01516101435514565,0.03033533399892323,-0.01516101435514565,0.24319679076264403,0.2517891910855003,0.24094491208680444,0.25499735817182323,0.2558803959202064,0.24322686093541665,0.06363666217447152,-0.3330202328355995,0.2896208613644808,-0.13065431746439665,-0.3921197484133983,-0.27384211999795927,-0.2154419866904975,-0.20475748856301673,-0.14205756468180886,0.07554832913414733,0.061660138050950775,-0.00835442835548334,-0.01399275386574958,-0.8140719035728572,-0.5809175321390523,-0.46956111304041964,0.205300024469601,0.4256259146556856,-0.3723406535801501,-0.3143231173927306,0.20872949653766082,0.20745075731049412,0.2552414501781377,0.31121385240466587,0.01673541470873004,0.026942598352880768,0.02462922136093004
LowerWickNorm,0.25194573476113663,-0.02924495441603652,0.44052702539038846,0.11665193340313072,0.12220702253134827,0.12961195460941805,0.008838961639898947,0.4418263026210087,-0.4552264949740482,0.7550251202002832,0.755025120200283,0.09174926182810236,-0.5776600800830864,1.0,0.4552264949740485,-0.8875646477321453,0.32938281122025703,0.3464042091591642,-0.27496241678489725,0.3948269620498942,0.2378905648833906,0.28943348424032417,-0.1504235402545189,0.20674106427327107,0.03338919570078183,0.02966700017686205,-0.005374528944334735,0.03432732121921663,-0.005374528944334735,0.23417816170959121,0.24555192089853803,0.23356905291858898,0.25003898202175284,0.25593370756269235,0.2444274505261509,0.0501507087673275,0.14840492028758057,-0.46424056292928156,-0.15864706805628623,0.3429882847313961,-0.2825699935637994,-0.22427126586904425,0.2088908988852252,0.14674046138091482,0.0623391080606728,0.0458787664170312,-0.0044378854965753355,-0.012170010072137728,0.8080766330624917,0.5671450340239957,0.4580391061994996,0.21694779604802944,0.42594459497699716,0.3791350746443037,0.31763685771148426,0.21771119949414652,0.21912507500025802,0.2362126148554373,0.3081509793298421,0.013953427298568596,0.02223165605627295,0.0242722858365215
WickTotalNorm,0.26734508092250603,0.26028804007597356,0.006705293326465706,0.2782184915557685,0.29071023056188017,0.30597497981886257,0.0179870842017553,0.9644592253341854,-0.9999999999999998,-0.01509166151638432,-0.015091661516384278,0.018360255136477162,0.4638273862662508,0.4552264949740485,1.0,0.006138156210918726,-0.001600740475749744,0.0771893909828544,0.08014374925074741,0.0051175598968137654,0.0022686008372275078,-0.006809795059757943,-0.006846637182411952,0.4641789492759625,0.09655611042141951,0.05466361916067932,-0.022370373810336526,0.07034531908448936,-0.022370373810336526,0.519445606150006,0.5411628781180977,0.5163282126871942,0.5495324526928221,0.5568937218933476,0.5306028910840032,0.12384582181396941,-0.20218297370683996,-0.1879400584201855,-0.31469806248207816,-0.05546127332403314,-0.6053594834768107,-0.4784075355272178,0.00339010214454384,0.004310898681048105,0.15005848679595907,0.11705093484393934,-0.013929044807104314,-0.028472086597637183,-0.010893534498428135,-0.018057334111535685,-0.015055368734780647,0.4593965574899285,0.9265746117758794,0.005344268666091198,0.0018888443179931583,0.4639767678273668,0.4641165704784613,0.5347784542219555,0.6739257195490966,0.03339794658920486,0.05351688769848206,0.05320825678406547
WickAsym,-0.14463513467773842,0.1675188700219376,-0.49128668275308124,0.012939307618556606,0.013163650700273814,0.012745198917901752,-0.0006210567565627877,0.0027990068854658345,-0.006138156210918759,-0.8557773922955126,-0.855777392295512,-0.09354396707570492,0.8887559479732694,-0.8875646477321453,0.006138156210918726,1.0,-0.37075815353631586,-0.3491086274427595,0.35027699438020005,-0.44079722730880155,-0.2660158271009555,-0.3285971971317744,0.16539824750286242,0.007976708041684906,0.012459021557264624,-0.005035886873604656,-0.005538367110252177,-0.00215613365975947,-0.005538367110252177,0.005740857642527488,0.00420283497646721,0.004812071429837125,0.003493572854634887,0.0006816340920422242,2.1736598338676776e-06,0.007750221155081445,-0.27128371549053276,0.4241479235923331,0.01535079442417254,-0.4139060743022163,0.004142947996820937,0.004352644671961941,-0.23286420766699265,-0.1625751653953869,0.007627294236506505,0.009035395517853598,-0.002222518871834894,-0.0010624807293218889,-0.9132179558917597,-0.646339135042129,-0.5222255850406172,-0.00596388572851262,0.0010046535575341708,-0.4230415645371447,-0.35576868924744787,-0.004463369424434939,-0.00597900681924084,0.011405608279601924,0.0025854536280716764,0.001608937633999154,0.0027214276626155824,0.00026990918881994897
AggImbalance,0.23906435746330865,-0.2544375107872202,0.7765294351922443,-0.009485305905755227,-0.009449841631941475,-0.008910643142637755,-0.000980698995309557,-0.0031498617449466186,0.0016007404757497916,0.7191877829839296,0.7191877829839294,-0.7387661943548551,-0.3292040872102729,0.32938281122025703,-0.001600740475749744,-0.37075815353631586,1.0,0.9431351680105383,-0.943232224344789,0.37467089099843837,0.07607809756990135,0.5381426461131393,0.21786111787272358,-0.004444723400822402,-0.021055726740858597,0.007864923982709254,0.004572549385929633,-0.013240922143111048,0.004572549385929633,-0.003663279727602759,-0.0010967124747129269,-0.0028342449386899535,-0.01707416755327445,-0.011961583520169803,-0.017950306863842407,-0.025609186151832955,0.3315837691317571,-0.5052100635127844,-0.010211640997956304,0.4992737499218768,-0.005699507097942216,-0.008638761910753086,0.5660625998355407,0.4134110530230573,-0.00442030079571839,-0.0013908416402913266,-0.0040917574420525704,-0.008319730430878016,0.5712119849706349,0.7704227319276264,0.726266484643115,0.009289144060672518,3.313165953695862e-05,0.5820119257017438,0.5405173403185107,-0.0003324836460915318,0.0001355811806895558,-0.008304636824733523,-0.0010839304625302974,-0.0001437822171151333,0.005100520717834965,0.005658680489607027
BuyShare,0.27859593611145067,-0.18684767742751268,0.7314940856953004,0.04708169621321628,0.04040415545326175,0.051044452800078764,-0.026738938784834673,0.059343352805108045,-0.07718939098285445,0.6617933468006765,0.6617933468006767,-0.6659923714353727,-0.27390730074874775,0.3464042091591642,0.0771893909828544,-0.3491086274427595,0.9431351680105383,1.0,-0.7791910074217653,0.35363909477585803,0.07208445880726845,0.5069396542362384,0.2052103387324699,0.0402868124401084,0.05754158105718377,0.1551953067713866,0.2515210143459985,0.16803823529802658,0.2515210143459985,0.03618065832373326,0.039935918418847444,0.04222582976224602,0.036284589384536776,0.04347000741278668,0.037865872330268384,0.07162786244399434,0.19280617802173633,-0.4997362999348026,-0.1392088694675182,0.3937035295162056,-0.11013645289099595,-0.12100120359916061,0.5325649811227446,0.3881607035283092,0.06020631095837744,0.05948158546859894,-0.051983627910277816,-0.07034548426822708,0.5269726034878484,0.7096881994079323,0.6651860519511988,0.09633179940109358,0.04681774821328099,0.5467918297213874,0.5099666813991711,0.011848125368085903,0.0019798129143444245,0.07131755775454747,0.07501650297689881,0.04715500694790813,0.039405609032367894,0.04062898814702169
SellShare,-0.1724113036267054,0.29307091901929366,-0.7333249922521532,0.06492803189553234,0.05818915459995662,0.06780392822475154,-0.02486773610980025,0.0652335029307776,-0.08014374925074758,-0.694845362389365,-0.6948453623893639,0.7275665907455569,0.34706223981034423,-0.27496241678489725,0.08014374925074741,0.35027699438020005,-0.943232224344789,-0.7791910074217653,1.0,-0.35312808249458955,-0.07142699370766684,-0.5081945846092516,-0.20575555281853775,0.048634329401369365,0.0971962677608263,0.1402366915016847,0.24269061816533366,0.19286585768416656,0.24269061816533366,0.04305794328110026,0.041970804919509476,0.04753496620216955,0.06844819907380116,0.06598783685764543,0.07168014870262414,0.11985517821439794,-0.4325832395977749,0.4532947640073265,-0.1198385677869932,-0.5480462256154279,-0.09929840455197891,-0.1046112692474941,-0.5352354814482261,-0.3916788128614961,0.06849134848058404,0.06205449600191684,-0.04422589868169559,-0.05460022424526729,-0.5505333033708881,-0.7435974554412813,-0.7048024478861277,0.07873610282254338,0.04671661517751836,-0.5510947284273038,-0.5096473549075697,0.012465243413262113,0.0017225378014963225,0.0869175538315956,0.07699831871432734,0.047387003195896366,0.02975548038168464,0.029925387458645238
AggBalanceChange,0.17311655430262798,-0.1589094632450041,0.5222271176584237,0.006562968903766874,0.007054896671225814,0.008995902003483621,0.0010354271958454622,0.0024347769230405863,-0.005117559896813771,0.461308204683166,0.4613082046831661,-0.12059859065298788,-0.38818451694879824,0.3948269620498942,0.0051175598968137654,-0.44079722730880155,0.37467089099843837,0.35363909477585803,-0.35312808249458955,1.0,0.7800772607571742,0.7079741976279629,-0.004903433513353867,0.00823469616265748,-0.0024782167423215424,0.0028992743676434086,-0.0025375706311243015,-0.006354524083379616,-0.0025375706311243015,0.008741664641902763,0.010166333298165879,0.008688871181165132,0.006739207478124827,0.007399457696664552,0.006282408808066479,-0.002713453618825973,0.07004454969747392,-0.10346647123672717,-5.104057939719287e-05,0.10383351212681487,0.0008561576098454264,-0.003389059638317766,-0.13073818038022522,-0.15015052293959658,0.008472895886962388,0.004545203107771428,0.0005311101764897418,0.0002326331763044883,0.5833856906329123,0.29719724691348137,0.080754310089624,0.00042572295614876624,0.0028113854261230496,0.10921641812596171,0.45919088948090653,0.006855146406869034,0.006959787064596541,0.006256930327567292,0.007387608179970554,0.0034708696317733373,0.0004044409815995008,0.00038779924160484147
AggBalanceAcceleration,0.05277996556135313,-0.039642775314371735,0.14529157906737983,0.006669106143633351,0.006522378653213984,0.0078057284775584785,0.0015138769652592696,-0.0009981487814245678,-0.002268600837227467,0.18495497920264456,0.1849549792026446,0.10703001899409713,-0.23464308232120126,0.2378905648833906,0.0022686008372275078,-0.2660158271009555,0.07607809756990135,0.07208445880726845,-0.07142699370766684,0.7800772607571742,1.0,0.5244673994835638,-0.007693491561106355,0.005410894139848635,-0.0009573128157341071,0.0012882476174906662,-0.00039399956594197375,-0.002198925811338698,-0.00039399956594197375,0.00566341201602304,0.006826256992848358,0.006033363797417501,0.0055822580258141205,0.005945854782941571,0.005667865639163891,-0.0010252997780890543,0.00035968471740016914,0.0032354720614516733,0.002437002794883869,-0.0013576042891632449,0.0009607514943471427,-1.7973668782498204e-05,-0.16759236297789598,-0.07115477542655706,0.0011358585395760978,-0.0002918203864631352,0.0004946259746878434,0.0003230166925908519,0.3608973242710951,-0.07952001937865028,-0.10994359470779157,-0.0013177882231247059,-0.0011519680933828054,-0.03178919869210256,0.02373386221785456,0.006207204566577048,0.0062580353894202525,0.006025604589147518,0.007860221023239439,-0.002533511823513944,0.00022526675552916276,0.00021268793312384266
