feature,lag,mean_pos,mean_neg,cohens_d,auc,abs_auc_gap
QuantityNorm,2,274.64811406937736,259.9133098073208,0.06011082029039536,0.5137812691753357,0.01378126917533573
WickAsym,1,0.011209297543788714,-0.008277231026967495,0.053918055880941715,0.5137359893128548,0.013735989312854802
AggBalanceNormMean3Change,1,-0.44862373032033986,0.6235064754370023,-0.0405201708900284,0.4866482034597108,0.013351796540289174
AggTotalNormMean5,1,202.0529018896458,197.21639737474123,0.037036539649981846,0.5133128284162147,0.013312828416214728
AggTotalResidual20,1,-2158.802006507592,-1825.375418144957,-0.018839097330799522,0.4871989317829747,0.012801068217025313
QuantityNorm,1,275.5961528599181,272.04787552808403,0.014719154009184676,0.5127963635605229,0.012796363560522939
AggTotalNorm,1,203.70698519926142,201.87685333659238,0.010878584974905545,0.5127667258323536,0.01276672583235361
AggBuyNorm,1,101.66206936233853,100.66632050486011,0.011011404132660454,0.5127552000491766,0.01275520004917663
QuantityResidual20,1,-3199.6378524945767,-2759.0598834262546,-0.017651741574686065,0.4872456580320223,0.0127543419679777
DurationResidualPct,2,-0.11725288740726295,-0.1298325857309102,0.009721752545743697,0.4872665474139495,0.01273345258605052
AggBuyNorm,2,101.15663055202728,95.69354290264741,0.05953836563991912,0.5126915338182944,0.012691533818294354
AggTotalNormMean5,2,201.90644522629492,197.61825806155392,0.03233248118334257,0.5126872584879624,0.012687258487962372
LogDurationResidual20,1,-0.5649260060157733,-0.46491677683857147,-0.04913324235517116,0.48745702559389065,0.012542974406109353
DurationResidual,1,-1101.4496203904555,-923.800633552965,-0.018103664209252676,0.48783056072598296,0.012169439274017035
AggPerBrickProgress,1,358.66764897074756,356.3240425531915,0.005699941725775921,0.5117848388750397,0.011784838875039672
AggSellNorm,1,102.04491583692287,101.21053283173225,0.009115652553453972,0.5117420288232395,0.011742028823239492
DurationResidualMean3,1,-974.7161237785019,-958.1099847947291,-0.001647347374097303,0.5114182616242179,0.011418261624217885
AggTotalNormMean5,0,207.71497295928953,203.56728769789763,0.030950453974245715,0.5113474079611329,0.011347407961132872
DurationResidual,0,1411.482700650759,-276.48819057273187,0.071046203534338,0.4887626119643385,0.011237388035661489
AggTotalNormMean3,2,203.40420018490047,196.85331433491436,0.04691777390720436,0.5111086595953243,0.011108659595324255
LogDurationResidual20,2,-0.4356332713426982,-0.35199239363128687,-0.04238454830831154,0.4890855728033441,0.010914427196655918
AggTotalPerQuantity,1,0.7844753245647116,0.7917107272096069,-0.05902929644172098,0.4898175194099677,0.010182480590032295
AggShareOfQuantity,1,0.7844753245647116,0.7917107272096069,-0.05902929644172098,0.4898175194099677,0.010182480590032295
RangeMean5,2,90.86782231852655,91.33451596553472,-0.03177743870545481,0.49041008105634076,0.009589918943659237
LowerWickNorm,1,0.13748400245102885,0.1474871473587609,-0.047215827709830537,0.4904755867446907,0.009524413255309283
TradesPerQuantity,2,0.31992309897087085,0.3254981078799319,-0.06478584982174876,0.4909475950081284,0.009052404991871599
DurationResidualPct,0,0.6615038373750406,0.6585246934245012,0.0017223563244680548,0.4910673154835397,0.008932684516460287
HourOfDay,0,11.219104369808596,11.163745356298548,0.024951732933787548,0.5088995511530723,0.008899551153072283
HourOfDay,1,11.20742145178765,11.152254305977712,0.025013699030017916,0.5088323174178733,0.00883231741787327
HourOfDay,2,11.192361863488623,11.139893617021277,0.023967013864416256,0.5088205172112874,0.008820517211287404
QuantityPerTrade,0,3.5092303840683603,3.310608576379993,0.0926567350050492,0.5088087170047014,0.008808717004701427
TradesPerQuantity,0,0.31288911067729935,0.3214875504520562,-0.10543886150118505,0.4911912829952986,0.008808717004701427
AggBalanceChange,1,1.3337714619698382,0.5777127374655096,0.016898109902199396,0.5087230969011011,0.008723096901101068
UpperWickNorm,1,0.14869329999481753,0.13920991633179344,0.04485614781729556,0.5084596504284847,0.008459650428484733
SecondsSinceSessionOpen,1,7643.1743737811485,7418.372224417426,0.028668851213097115,0.508400649395555,0.00840064939555496
AggBalanceAcceleration,2,-1.0383889998862033,-3.2150163633113213,0.028272493710807596,0.5083594858842087,0.00835948588420865
SecondsSinceSessionOpen,0,7686.177223185265,7461.2068591692,0.028517315701836566,0.5083501554883035,0.008350155488303534
SecondsSinceSessionOpen,2,7588.721247020584,7374.311574468085,0.027551639666892086,0.5082826473296955,0.008282647329695525
RangeMean5,0,94.49837486457204,94.27963525835867,0.017054233878120686,0.5080979603754552,0.008097960375455182
BodyNormMean5,2,0.6306964158612302,0.627296921653286,0.032132577303566806,0.5079999275155004,0.007999927515500382
UpperWickNorm,2,0.1487849032749771,0.14303291447444977,0.027216730184749415,0.5079684325264188,0.007968432526418767
DurationResidualPct,1,-0.17757001383921514,-0.16903662831572322,-0.006734018438270245,0.4920361980005563,0.007963801999443687
QuantityPerTrade,2,3.210208518592205,3.1959249020175258,0.010587540333132157,0.5079135478446236,0.007913547844623614
WickAsym,2,0.004048430520202678,-0.0041038432092028385,0.022418407520869297,0.50782079273239,0.007820792732390003
UpperWickNorm,0,0.2958809904239952,0.30443948277960603,-0.02852068842247495,0.4922708646862078,0.0077291353137922125
RangeRatio20,2,0.857053149895481,0.8440338795934685,0.044205864575428064,0.5076897662917939,0.007689766291793854
DeltaTLog,1,2.4168142506750123,2.3545080864420465,0.03715169338039717,0.5074143716636974,0.0074143716636974055
AggTotalNormMean3,0,210.79738109411934,206.59516878479351,0.029360766698102236,0.5073885758632537,0.007388575863253699
