rule,n,n_per_day,precision,wilson_lo,wilson_hi,base_rate,edge,lift,beats_base_at_95,expectancy_R,expectancy_R_base,expectancy_R_delta,coverage
TradesRatio20_lt_prev,910,31.38,0.5846153846153846,0.5523069583051694,0.6162123999731143,0.5758096875895672,0.00880569702581746,1.0152927212160663,False,0.07646547520890569,0.03717582191793065,0.039289653290975037,0.26081971911722557
AggTotalPerTrade_ratio1 < mediana,1697,58.52,0.5845609899823218,0.5609489051538742,0.6077910880353798,0.5758096875895672,0.008751302392754567,1.015198254877213,False,0.05524072353162228,0.03717582191793065,0.018064901613691627,0.48638578389223275
DurationRatio20_ratio1 < mediana,1363,47.0,0.5840058694057226,0.5576381104946935,0.6099014200551521,0.5758096875895672,0.008196181816155446,1.014234185344234,False,0.06353343182566136,0.03717582191793065,0.026357609907730707,0.3906563485239324
QuantityPerTrade_ratio1 < mediana,1698,58.55,0.5836277974087162,0.5600172664394073,0.6068607790849235,0.5758096875895672,0.007818109819148988,1.0135775934091642,False,0.05116545271379516,0.03717582191793065,0.01398963079586451,0.4866723989681857
TradesPerQuantity_ratio1 > mediana,1698,58.55,0.5836277974087162,0.5600172664394073,0.6068607790849235,0.5758096875895672,0.007818109819148988,1.0135775934091642,False,0.05116545271379516,0.03717582191793065,0.01398963079586451,0.4866723989681857
DurationRatio20_lt_prev,785,27.07,0.5834394904458599,0.5486276031647316,0.6174386894851489,0.5758096875895672,0.007629802856292667,1.0132505635468418,False,0.06812430999655858,0.03717582191793065,0.030948488078627927,0.22499283462310118
AggTotalPerTrade_ratio1 > mediana,1697,58.52,0.5833824395992929,0.559763496368912,0.6066247199117812,0.5758096875895672,0.007572752009725736,1.0131514842020573,False,0.04853073399427801,0.03717582191793065,0.011354912076347354,0.48638578389223275
QuantityPerTrade_chg1 < mediana,1744,60.14,0.5831422018348624,0.5598441480961959,0.6060747772801083,0.5758096875895672,0.007332514245295241,1.0127342668998682,False,0.05062770863924187,0.03717582191793065,0.013451886721311215,0.4998566924620235
AggTotalPerTrade_chg1 < mediana,1744,60.14,0.5831422018348624,0.5598441480961959,0.6060747772801083,0.5758096875895672,0.007332514245295241,1.0127342668998682,False,0.053005118047052366,0.03717582191793065,0.015829296129121713,0.4998566924620235
AggTotalNorm_lt_prev,1520,52.41,0.5828947368421052,0.5579275329511948,0.6074439859783317,0.5758096875895672,0.007085049252538056,1.012304498179246,False,0.06834362071144996,0.03717582191793065,0.03116779879351931,0.4356549154485526
AggTotalPerQuantity_lt_prev,2256,77.79,0.5828900709219859,0.5624187545125736,0.6030795706797762,0.5758096875895672,0.007080383332418672,1.0122963949461468,False,0.051352530395655106,0.03717582191793065,0.014176708477724453,0.646603611349957
AggTotalPerQuantity_ratio1 > mediana,1697,58.52,0.5827931644077784,0.5591708435134544,0.606041484312958,0.5758096875895672,0.0069834768182112095,1.0121280988644794,False,0.0470848685582509,0.03717582191793065,0.009909046640320246,0.48638578389223275
TradesPerQuantity_chg1 < mediana,1744,60.14,0.5825688073394495,0.5592675068742647,0.6055071500511682,0.5758096875895672,0.006759119749882303,1.011738461327695,False,0.049379883864103906,0.03717582191793065,0.012204061946173253,0.4998566924620235
QuantityRatio20_ratio1 < mediana,1696,58.48,0.5825471698113207,0.5589164459945316,0.605804784501298,0.5758096875895672,0.006737482221753521,1.0117008837589339,False,0.06482633543758053,0.03717582191793065,0.027650513519649873,0.48609916881627974
AggTotalRatio20_chg1 > mediana,1743,60.1,0.5823293172690763,0.5590199490442227,0.605276573319339,0.5758096875895672,0.006519629679509142,1.0113225425344985,False,0.0286016246658989,0.03717582191793065,-0.008574197252031752,0.4995700773860705
QuantityRatio20_chg1 > mediana,1743,60.1,0.5823293172690763,0.5590199490442227,0.605276573319339,0.5758096875895672,0.006519629679509142,1.0113225425344985,False,0.029042806037183212,0.03717582191793065,-0.00813301588074744,0.4995700773860705
TradesNorm_lt_prev,1503,51.83,0.582168995342648,0.5570558892152997,0.60686313186827,0.5758096875895672,0.006359307753080801,1.0110441138628665,False,0.0675447227001789,0.03717582191793065,0.03036890078224825,0.4307824591573517
AggSellNorm_chg1 > mediana,1744,60.14,0.5814220183486238,0.5581143205906453,0.6043717994330456,0.5758096875895672,0.00561233075905665,1.0097468501833493,False,0.034690124541901644,0.03717582191793065,-0.0024856973760290085,0.4998566924620235
QuantityPerTradeRatio20_lt_prev,1382,47.66,0.5803183791606368,0.5541115933922962,0.6060798743771805,0.5758096875895672,0.00450869157106959,1.0078301766508022,False,0.04600983961144692,0.03717582191793065,0.008834017693516265,0.3961020349670393
WickTotalNorm_ratio1 > mediana,1339,46.17,0.5802837938760269,0.5536568971289335,0.6064513390174594,0.5758096875895672,0.0044741062864597225,1.00777011290864,False,0.039843720878035685,0.03717582191793065,0.002667898960105032,0.3837775867010605
QuantityPerTradeRatio20_ratio1 > mediana,1696,58.48,0.5801886792452831,0.556544835287477,0.6034700743370434,0.5758096875895672,0.004378991655715869,1.0076049287639586,False,0.0449384780912708,0.03717582191793065,0.0077626561733401475,0.48609916881627974
AggTotalPerTrade_lt_prev,1924,66.34,0.58004158004158,0.5578495456294158,0.6019146175673945,0.5758096875895672,0.004231892452012831,1.0073494637954568,False,0.0465312845430479,0.03717582191793065,0.009355462625117245,0.5514474061335626
AggTotalRatio20_ratio1 < mediana,1695,58.45,0.5799410029498525,0.5562888012638875,0.6032316625627577,0.5758096875895672,0.004131315360285326,1.0071747930771704,False,0.06087339082089494,0.03717582191793065,0.02369756890296429,0.4858125537403267
TradesRatio20_ratio1 < mediana,1696,58.48,0.5795990566037735,0.5559520183891505,0.6028863110175423,0.5758096875895672,0.003789369014206345,1.0065809400152146,False,0.060431560905910994,0.03717582191793065,0.02325573898798034,0.48609916881627974
WickTotalNorm_gt_prev,3085,106.38,0.5779578606158833,0.5604431973914363,0.5952786110690557,0.5758096875895672,0.0021481730263160914,1.0037306996957773,False,0.03736040007858717,0.03717582191793065,0.00018457816065652055,0.8842075093149899
BodyNorm_lt_prev,3085,106.38,0.5779578606158833,0.5604431973914363,0.5952786110690557,0.5758096875895672,0.0021481730263160914,1.0037306996957773,False,0.03736040007858717,0.03717582191793065,0.00018457816065652055,0.8842075093149899
QuantityPerTrade_lt_prev,1360,46.9,0.5779411764705882,0.5515085801574671,0.6039346912605625,0.5758096875895672,0.002131488881020993,1.003701724592276,False,0.041124795271655676,0.03717582191793065,0.003948973353725023,0.38979650329607335
QuantityNorm_lt_prev,1457,50.24,0.5778997940974605,0.5523668307840971,0.6030230485840697,0.5758096875895672,0.002090106507893319,1.0036298564489994,False,0.059146813951566686,0.03717582191793065,0.021970992033636033,0.4175981656635139
TradesNorm_ratio1 < mediana,1698,58.55,0.5777385159010601,0.5540956317047098,0.6010304387826964,0.5758096875895672,0.0019288283114928806,1.0033497670377296,False,0.05688793499773169,0.03717582191793065,0.019712113079801037,0.4866723989681857
AggSellNorm_ratio1 > mediana,1668,57.52,0.5767386091127098,0.5528777682746058,0.6002467861090152,0.5758096875895672,0.0009289215231426118,1.0016132439991263,False,0.02621409935369862,0.03717582191793065,-0.010961722564232033,0.47807394668959585
TradesRatio20_chg1 < mediana,1743,60.1,0.576592082616179,0.5532521191774009,0.5995951681782471,0.5758096875895672,0.0007823950266118151,1.001358773642533,False,0.0597864544749106,0.03717582191793065,0.022610632556979947,0.4995700773860705
RangeRatio20_gt_prev,3084,106.34,0.5765239948119325,0.5590003659194734,0.5938572158943086,0.5758096875895672,0.000714307222365318,1.0012405265798072,False,0.035134961572520995,0.03717582191793065,-0.0020408603454096577,0.883920894239037
