target,feature_set,n_features,n_lags,depth,learning_rate,l2_leaf_reg,oof_auc,oof_pr_auc,base_rate,auc_fold_mean,auc_fold_std,auc_fold_min,folds_above_05,n_folds,stability_score
p2c2,EXTENDED,97,5,6,0.1,3.0,0.5253592642268634,0.4699188878750418,0.45373665480427045,0.5185636230901861,0.038235420254869944,0.46321849055512165,5,6,0.49944591296275115
p2c2,EXTENDED,97,5,4,0.02,10.0,0.5132923772114709,0.4620369885397242,0.45373665480427045,0.5095105592906878,0.020892561026842962,0.474297781249096,5,6,0.4990642787772663
p2c2,EXTENDED,97,5,4,0.1,3.0,0.520753896020949,0.4717760186646604,0.45373665480427045,0.5171689680659802,0.036923603755125184,0.4558997946136712,4,6,0.49870716618841765
p2c2,STRUCT+AGG,41,5,3,0.1,3.0,0.5273667528900812,0.46671524531706554,0.45373665480427045,0.5238842148582624,0.05049148678896665,0.4776244612224826,3,6,0.4986384714637791
p2c2,STRUCT+AGG,41,5,3,0.05,3.0,0.5290329405377787,0.4646946417941823,0.45373665480427045,0.5286675044509338,0.06028017976953987,0.474702380952381,4,6,0.49852741456616384
p2c2,STRUCT+VOL,28,5,6,0.05,10.0,0.5134560420259309,0.47924327972640585,0.45373665480427045,0.514140134225027,0.03149562547959869,0.46914865920333243,4,6,0.49839232148522766
p2c2,BASE,42,5,5,0.1,3.0,0.5153042568819058,0.46428303274220906,0.45373665480427045,0.5213228126720417,0.046136093624753974,0.4694940476190476,4,6,0.4982547658596647
p2c2,BASE,42,5,3,0.1,10.0,0.5269839368972344,0.4732541999326803,0.45373665480427045,0.5270419945575714,0.05847671582847872,0.4551476756631664,4,6,0.49780363664333205
p2c2,EXTENDED,97,5,3,0.1,10.0,0.5217231110685316,0.4706998646667601,0.45373665480427045,0.5164433439378006,0.03927713028709482,0.4479446903294859,5,6,0.49680477879425317
p2c2,STRUCT+AGG,41,5,5,0.1,10.0,0.5286920387047327,0.474560471911733,0.45373665480427045,0.5301423393092862,0.06735887760747464,0.46506211180124224,3,6,0.4964629005055489
p2c2,BASE,42,5,6,0.02,10.0,0.5004626524877052,0.4661802445062256,0.45373665480427045,0.5107999019428078,0.03147882892456845,0.45604443287338364,5,6,0.49506048748052356
p2c2,STRUCT+AGG,41,5,3,0.1,10.0,0.5280170211407038,0.4738738183550264,0.45373665480427045,0.5180936710065179,0.04680099012289708,0.48924149036592823,3,6,0.4946931759450694
p2c2,STRUCT+VOL,28,5,4,0.1,10.0,0.5152064571757042,0.45922300305480923,0.45373665480427045,0.5160106260544697,0.042650935801601016,0.43862998640400364,4,6,0.49468515815366915
p2c2,BASE,42,5,6,0.05,10.0,0.522573369738775,0.46974229396318873,0.45373665480427045,0.5230255208039956,0.05780587785820968,0.45652173913043476,4,6,0.4941225818748907
p2c2,EXTENDED,97,5,3,0.02,10.0,0.5317545666475059,0.48469987974764916,0.45373665480427045,0.5233997344748625,0.05877544559046497,0.4452254910468917,5,6,0.49401201167963005
p2c2,BASE,42,5,3,0.05,10.0,0.5255664399310213,0.46880370035109353,0.45373665480427045,0.526273729642579,0.06462060444194226,0.4350429575631346,4,6,0.49396342742160787
p2c2,EXTENDED,97,5,3,0.1,3.0,0.5095532349747717,0.4734639565208289,0.45373665480427045,0.511281083112712,0.0349834848010103,0.4604575776247757,3,6,0.49378934071220687
p2c2,STRUCT+VOL,28,5,5,0.05,3.0,0.5248279523535799,0.4776031297631159,0.45373665480427045,0.5229364189979009,0.05842868750320382,0.42947438456420495,4,6,0.49372207524629896
p2c2,STRUCT+AGG,41,5,4,0.1,3.0,0.5321701156032446,0.47124699472075937,0.45373665480427045,0.5241789874268398,0.061221707707034285,0.4659753456605031,4,6,0.49356813357332263
p2c2,STRUCT+AGG,41,5,6,0.1,3.0,0.5196765025228333,0.46748906724271805,0.45373665480427045,0.5307046981592486,0.07442831390772527,0.42564147068182473,4,6,0.49349054120538594
p2c2,BASE,42,5,6,0.05,3.0,0.5147633646292393,0.4594730072346461,0.45373665480427045,0.5172684908288417,0.04967275864941472,0.465764123926061,3,6,0.4924321115041344
p2c2,STRUCT+VOL,28,5,6,0.05,3.0,0.505412515168934,0.4627203351768602,0.45373665480427045,0.5112290728779437,0.03815424995167758,0.4650409326274987,4,6,0.4921519479021049
p2c2,EXTENDED,97,5,4,0.05,10.0,0.5109415916203616,0.46488077717592324,0.45373665480427045,0.5134393127933709,0.0431588746015999,0.42847638057218895,5,6,0.4918598754925709
p2c2,STRUCT+VOL,28,5,4,0.1,3.0,0.5310619850546081,0.47439244604936076,0.45373665480427045,0.5227350787840094,0.062045219049025775,0.41236367844022104,5,6,0.49171246925949647
p2c2,STRUCT+VOL,28,5,6,0.02,10.0,0.5090283100210768,0.4592012331065529,0.45373665480427045,0.5107654275699548,0.03829182014956107,0.45925540223900024,4,6,0.49161951749517424
p2c2,STRUCT+AGG,41,5,3,0.05,10.0,0.5176638244874496,0.46340896732587566,0.45373665480427045,0.5180130656992378,0.05312384180988886,0.4735745899505337,3,6,0.49145114479429336
p2c2,STRUCT+VOL,28,5,5,0.02,3.0,0.5157645142747653,0.47273891086236086,0.45373665480427045,0.5189119384790164,0.05545458312308295,0.4430269894992624,4,6,0.49118464691747493
p2c2,STRUCT+VOL,28,5,4,0.05,3.0,0.5262829724723765,0.48060088177082416,0.45373665480427045,0.518599286836744,0.054918857901930136,0.4155601839798663,5,6,0.49113985788577885
p2c2,STRUCT+VOL,28,5,4,0.02,3.0,0.5232547742223925,0.47739987078270874,0.45373665480427045,0.5158076204036776,0.05020758447592189,0.4261477045908184,4,6,0.4907038281657166
p2c2,EXTENDED,97,5,5,0.1,10.0,0.5199714983713355,0.46755133745307664,0.45373665480427045,0.5142751476683869,0.04714739388016776,0.4460354653012816,3,6,0.490701450728303
p2c2,STRUCT+VOL,28,5,3,0.02,3.0,0.5202561154755061,0.47650863542042765,0.45373665480427045,0.5164477838334304,0.0526537720144099,0.44874020075790444,3,6,0.4901208978262254
p2c2,STRUCT+AGG,41,5,4,0.05,3.0,0.5156275946860829,0.459287736236728,0.45373665480427045,0.5142516021601194,0.049395789205855724,0.48713143428285854,1,6,0.4895537075571916
