feature,imp_mean,imp_std,rank_mean,rank_std,rank_worst,times_in_topk,n_folds,topk_fraction,imp_cv
TradesNorm_lag1,0.006299862812019345,0.00873908032206767,55.583333333333336,24.21655769647426,89.0,1,6,0.16666666666666666,1.3871858138552802
AggImbalance,0.006262648905067836,0.007975659516025047,52.666666666666664,23.344521127379476,80.5,1,6,0.16666666666666666,1.2735281247478227
TradesPerQuantity,0.00590335304626893,0.00800323422008095,54.333333333333336,23.81106185508464,80.5,1,6,0.16666666666666666,1.3557099088185482
AggBalanceAcceleration,0.01172274714480293,0.0050511401118524734,27.5,14.487926007541592,55.0,0,6,0.0,0.4308836529065464
DeltaTLog,0.008100521560836087,0.00899102770041779,44.666666666666664,25.786947602744043,80.5,0,6,0.0,1.1099319510347418
TradesResidual20,0.0075525342511546896,0.008205484823158929,46.583333333333336,23.79583296854024,80.0,0,6,0.0,1.0864544999454204
DurationResidual,0.007523668674918729,0.00827190250689597,47.75,26.411645158906705,89.0,0,6,0.0,1.0994506622110554
AggTotalNorm_lag3,0.007144429716783839,0.006378574255649442,49.25,16.27190830849289,66.0,0,6,0.0,0.8928038357861883
DurationResidualPct,0.007111435016279677,0.006753874757819831,46.916666666666664,15.596206803792604,62.5,0,6,0.0,0.9497203788488103
AggSellNorm_lag3,0.007092663803290831,0.007039835346287116,46.416666666666664,20.751907542842094,72.0,0,6,0.0,0.9925516761446941
AggTotalNorm_lag5,0.007043000843568715,0.005933652726826723,48.25,12.448895533339494,62.5,0,6,0.0,0.8424892824263981
LogDuration,0.007028851751660831,0.006232595440150217,47.916666666666664,15.793722381587777,62.5,0,6,0.0,0.8867160185413687
DurationResidual_lag1,0.006930648778978348,0.006557590326428254,47.916666666666664,15.028029367374376,62.5,0,6,0.0,0.9461726507218726
BodyNormMean3,0.006803387138423209,0.005521975250006592,47.416666666666664,12.068208925381873,62.5,0,6,0.0,0.811650893541007
QuantityRatio20,0.006598177939524138,0.007029076998268035,53.583333333333336,20.367662277901868,83.0,0,6,0.0,1.0653057651208135
AggTotalRatio20,0.005917035850814789,0.006937178598004894,49.916666666666664,17.568200439050855,62.5,0,6,0.0,1.1724077347021025
DurationRatio20,0.005869601128957204,0.0059544589760406955,52.416666666666664,14.554781573993706,63.0,0,6,0.0,1.0144571743835968
WickAsym,0.005820992249395136,0.007685381418576133,57.916666666666664,23.044341315530517,87.0,0,6,0.0,1.320287176017925
WickTotalNorm,0.005733573650821849,0.004958719951049763,52.416666666666664,10.910621736027085,65.0,0,6,0.0,0.8648567635193769
DirVsAggDivergence,0.005731482330824783,0.006040059534679293,54.333333333333336,30.130825854374894,88.0,0,6,0.0,1.0538389872014322
HourOfDay,0.005642913873390294,0.00643267276714634,52.333333333333336,18.946415668053593,80.5,0,6,0.0,1.1399558652631985
AggSellNorm,0.005608182953604524,0.004959788379338932,53.916666666666664,15.793722381587777,79.0,0,6,0.0,0.8843841972293626
TradesNorm_lag3,0.005508650911920883,0.006885030050083354,53.333333333333336,20.903747670374006,80.5,0,6,0.0,1.2498577528635815
Range,0.00528099199524937,0.0062671624817641864,59.25,19.15137070812426,79.0,0,6,0.0,1.1867396291079302
QuantityResidual20,0.005000237499547825,0.005518368568511166,55.083333333333336,16.119605040653653,71.0,0,6,0.0,1.1036212917906791
TradesNorm_lag5,0.0048292107670700616,0.006240354106153337,59.25,20.96604397591496,82.0,0,6,0.0,1.292209929768593
AggPerBrickProgress,0.004692821221916186,0.004417796879083118,55.083333333333336,9.286639148080788,62.5,0,6,0.0,0.9413946686166814
QuantityNorm_lag4,0.004493681789378851,0.007050752881807802,66.58333333333333,25.096646522327774,89.0,0,6,0.0,1.569036975086393
Direction,0.004472591335893692,0.0069581199430610845,64.5,27.557213211789033,94.5,0,6,0.0,1.5557245052147708
QuantityNorm,0.0044478646346556485,0.004267940839986986,58.25,11.873289350470658,78.0,0,6,0.0,0.959548275532762
BodyNorm,0.004255456827643782,0.005028214941480397,59.5,15.407790237409127,80.5,0,6,0.0,1.181592281424809
AggBalanceNormMean3Change,0.003907659154328308,0.004302776549321243,60.166666666666664,10.698909601761605,80.5,0,6,0.0,1.1011135770516947
AggTotalNorm_lag1,0.003820190015660923,0.0041340710516553775,59.083333333333336,8.114287810194229,69.0,0,6,0.0,1.0821637234555597
TradesNorm_lag4,0.0036269040301149242,0.005589040385690713,59.083333333333336,18.325983375160707,89.0,0,6,0.0,1.540994837272718
AggBuyNorm_lag3,0.003456618962357327,0.004235134864243057,63.833333333333336,14.030918240324354,80.5,0,6,0.0,1.2252246806384472
AggBalanceNorm_lag5,0.00343421731177332,0.004296116865803651,63.0,12.373358476985947,80.5,0,6,0.0,1.2509740868976267
AggTotalNormMean3,0.0032090279219701666,0.0039547163285685,63.0,10.634848376916334,80.5,0,6,0.0,1.232372053073481
AggBuyNorm_lag1,0.0031997766148785015,0.00499076092471281,63.833333333333336,18.50585492936402,85.0,0,6,0.0,1.55972166978985
QuantityNorm_lag1,0.00305178779704955,0.003753294811472809,66.16666666666667,13.448667839851895,82.0,0,6,0.0,1.2298675599599265
AggSellNorm_lag1,0.002997624260737791,0.005321413717826729,65.66666666666667,20.855854493802614,89.0,0,6,0.0,1.7752103849456418
OpenLocation,0.002977818347327528,0.0023808109753595064,65.08333333333333,10.55659351621851,81.0,0,6,0.0,0.799515181137959
AggTotalPerTrade,0.002613651647804617,0.0033251188817295845,66.66666666666667,10.048217088949993,80.5,0,6,0.0,1.2722119585150442
ConsecutiveDownCount,0.002601167030247618,0.004261053199362848,68.41666666666667,20.195090162380225,89.0,0,6,0.0,1.6381313271363498
LowerWickNorm,0.0024341228909161875,0.003888274078059624,70.25,19.87397796114306,89.0,0,6,0.0,1.5974025356608448
QuantityPerTrade,0.0021747192688688923,0.0026469135490542577,69.0,10.310189135025603,83.0,0,6,0.0,1.2171288436833327
LogDurationResidual20,0.0015379861261829101,0.002391794074133701,73.33333333333333,11.513759884011247,89.0,0,6,0.0,1.5551467164855615
TradesNorm,0.001204872205716302,0.001761717690405671,74.33333333333333,12.15593133686871,91.0,0,6,0.0,1.4621614491956199
UpperWickNorm,0.0009774995127689943,0.0011526094442941275,75.66666666666667,12.63988396571213,89.0,0,6,0.0,1.179140684202587
CloseLocation,0.0005923040818821137,0.001450842773178845,77.41666666666667,14.434045401988548,94.5,0,6,0.0,2.449489742783178
CloseChange2Bricks,0.0002385171733924057,0.0003816444850143642,78.33333333333333,14.524691620363809,90.0,0,6,0.0,1.600071305500871
CloseChange1Bricks,0.00012734073724087968,0.0003119198297099827,79.25,15.487898501733538,94.5,0,6,0.0,2.4494897427831788
CloseChange3Bricks,0.0,0.0,79.83333333333333,16.073788186568425,94.5,0,6,0.0,
ConsecutiveUpCount,0.0,0.0,79.83333333333333,16.073788186568425,94.5,0,6,0.0,
RunLength,0.0,0.0,79.83333333333333,16.073788186568425,94.5,0,6,0.0,
SignedRunLength,0.0,0.0,79.83333333333333,16.073788186568425,94.5,0,6,0.0,
